muscleNstrength,exRx,confidence
dumbbell lunge,rear lunge_barbell machine,0.8898809523809523
snatch balance,squat_on balance board,0.865
dumbbell side lunge,lunge_side lunge,0.8611111111111112
dumbbell side lunge,lunge_side lunge,0.8611111111111112
dumbbell side lunge,lunge_alternating side lunge,0.8611111111111112
overhead step up,step-up_lateral,0.8670634920634921
overhead step up,step-up_lateral,0.8670634920634921
overhead step up,step-up_lateral step-up,0.8670634920634921
barbell back squat,single leg split squat_barbell machine,0.8650793650793651
barbell back squat,squat_cable bar squat,0.8814814814814814
barbell back squat,single leg squat_leg back,0.8650793650793651
barbell back squat,single leg squat (bar)_reclining on pole,0.8814814814814814
barbell back squat,single leg split squat_barbell machine,0.8650793650793651
barbell back squat,squat_trap bar squat,0.8814814814814814
barbell back squat,squat_barbell machine,0.8650793650793651
barbell back squat,single leg squat (bar),0.8814814814814814
split squat,single leg split squat_barbell machine,1.0
split squat,split squat_single leg split squat,1.0
split squat,v-squat_split,1.0
split squat,single leg split squat,1.0
split squat,split squat,1.0
split squat,split squat_one arm,1.0
split squat,single leg split squat_single leg squat,1.0
split squat,split squat_two arms,1.0
split squat,single leg split squat_single leg squat,1.0
split squat,single leg split squat,1.0
split squat,single leg split squat_side split squat,1.0
split squat,split squat,1.0
split squat,single leg split squat_barbell machine,1.0
split squat,single leg split squat_self-assisted,1.0
split squat,single leg split squat_one arm,1.0
split squat,single leg split squat_split squat,1.0
split squat,single leg split squat,1.0
split squat,single leg split squat,1.0
split squat,single leg split squat_split squat,1.0
split squat,v-squat_single leg split,1.0
split squat,single leg split squat,1.0
split squat,single leg split squat_single leg squat,1.0
split squat,single leg split squat_split squat,1.0
split squat,single leg split squat,1.0
split squat,single leg split squat_split squat,1.0
leg press,alternating lying leg press_seated leg press,1.0
leg press,45° leg press_hack press,1.0
leg press,45° leg press_vertical leg press,1.0
leg press,45° leg press,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press_lying leg press,1.0
leg press,45° leg press_seated leg press,1.0
leg press,45° leg press_lever single leg standing leg press,1.0
leg press,45° leg press_alternating,1.0
leg press,45° leg press_hack press,1.0
leg press,45° leg press_alternating,1.0
leg press,45° leg press_plate loaded,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press_seated leg press,1.0
leg press,alternating lying leg press,1.0
leg press,45° leg press_single leg,1.0
leg press,alternating lying leg press_single leg,1.0
leg press,45° leg press_custom-made,1.0
leg press,45° leg press_lying leg press,1.0
leg press,45° leg press_single leg,1.0
leg press,45° leg press,1.0
front squat,squat_front squat,1.0
front squat,squat_front squat,1.0
front squat,front squat,1.0
front squat,squat_front squat,1.0
front squat,squat_front squat,1.0
split snatch,single leg split squat_barbell machine,0.865
split snatch,split squat_single leg split squat,0.865
split snatch,v-squat_split,0.865
split snatch,single leg split squat,0.865
split snatch,split squat,0.865
split snatch,split squat_one arm,0.865
split snatch,single leg split squat_single leg squat,0.865
split snatch,split squat_two arms,0.865
split snatch,single leg split squat_single leg squat,0.865
split snatch,single leg split squat,0.865
split snatch,single leg split squat_side split squat,0.865
split snatch,split squat,0.865
split snatch,single leg split squat_barbell machine,0.865
split snatch,single leg split squat_self-assisted,0.865
split snatch,single leg split squat_one arm,0.865
split snatch,single leg split squat_split squat,0.865
split snatch,single leg split squat,0.865
split snatch,single leg split squat,0.865
split snatch,single leg split squat_split squat,0.865
split snatch,v-squat_single leg split,0.865
split snatch,single leg split squat,0.865
split snatch,single leg split squat_single leg squat,0.865
split snatch,single leg split squat_split squat,0.865
split snatch,single leg split squat,0.865
split snatch,single leg split squat_split squat,0.865
belt squat,squat_belt squat,1.0
belt squat,belt squat,1.0
leg extension,leg extension_unilateral machine,1.0
leg extension,leg extension_alternating,1.0
leg extension,leg extension_alternating,1.0
leg extension,standing leg extension,1.0
leg extension,leg extension,1.0
leg extension,leg extension,1.0
box squat,single leg squat_box,1.0
safety bar squat,single leg split squat_barbell machine,0.8655555555555555
safety bar squat,squat_cable bar squat,0.91
safety bar squat,single leg squat (bar)_reclining on pole,0.91
safety bar squat,single leg split squat_barbell machine,0.8655555555555555
safety bar squat,squat_on balance board,0.87
safety bar squat,squat_trap bar squat,0.91
safety bar squat,squat_barbell machine,0.8655555555555555
safety bar squat,single leg squat (bar),0.91
dumbbell squat,single leg split squat_barbell machine,0.8898809523809523
dumbbell squat,single leg split squat_barbell machine,0.8898809523809523
dumbbell squat,squat_barbell machine,0.8898809523809523
barbell lunge,rear lunge_barbell machine,1.0
barbell lunge,single leg split squat_barbell machine,0.8500000000000001
barbell lunge,single leg split squat_barbell machine,0.8500000000000001
smith machine lunge,rear lunge_barbell machine,0.8550264550264549
frog squat,squat_front squat,0.9241666666666667
frog squat,squat_front squat,0.9241666666666667
frog squat,front squat,0.9241666666666667
frog squat,squat_front squat,0.9241666666666667
frog squat,squat_front squat,0.9241666666666667
zerchers squat,squat_zercher squat,0.9875
barbell side split squat,single leg split squat_barbell machine,0.95
barbell side split squat,single leg split squat_side split squat,0.8660714285714286
barbell side split squat,single leg split squat_barbell machine,0.95
barbell side split squat,single leg split squat_one arm,0.8626984126984126
dumbbell split squat,single leg split squat_barbell machine,0.9265873015873015
dumbbell split squat,single leg split squat_side split squat,0.8611111111111112
dumbbell split squat,single leg split squat_barbell machine,0.9265873015873015
wide squat,single leg split squat_side split squat,0.9166666666666667
wide squat,squat_wide squat,1.0
one leg barbell squat,single leg split squat_barbell machine,0.8888888888888888
one leg barbell squat,single leg squat (bar)_reclining on pole,0.9444444444444444
one leg barbell squat,single leg split squat_barbell machine,0.8888888888888888
one leg barbell squat,single leg split squat_one arm,0.9126984126984127
one leg barbell squat,single leg squat (bar),0.8555555555555556
walking barbell lunge,rear lunge_barbell machine,0.873015873015873
one leg hack squat,single leg squat (bar)_reclining on pole,0.8597222222222222
one leg hack squat,single leg split squat_one arm,0.8819444444444444
bodyweight side lunge,lunge_side lunge,0.8555555555555555
bodyweight side lunge,lunge_side lunge,0.8555555555555555
bodyweight side lunge,lunge_alternating side lunge,0.8555555555555555
plie squat,single leg split squat_barbell machine,0.8916666666666666
plie squat,split squat_single leg split squat,0.8916666666666666
plie squat,v-squat_split,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,split squat,0.8916666666666666
plie squat,split squat_one arm,0.8916666666666666
plie squat,single leg split squat_single leg squat,0.8916666666666666
plie squat,split squat_two arms,0.8916666666666666
plie squat,single leg squat (bar)_reclining on pole,0.925
plie squat,single leg split squat_single leg squat,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,single leg split squat_side split squat,0.8916666666666666
plie squat,split squat,0.8916666666666666
plie squat,single leg split squat_barbell machine,0.8916666666666666
plie squat,single leg split squat_self-assisted,0.8916666666666666
plie squat,single leg split squat_one arm,0.8916666666666666
plie squat,single leg split squat_split squat,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,single leg split squat_split squat,0.8916666666666666
plie squat,v-squat_single leg split,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,single leg split squat_single leg squat,0.8916666666666666
plie squat,single leg split squat_split squat,0.8916666666666666
plie squat,single leg split squat,0.8916666666666666
plie squat,single leg split squat_split squat,0.8916666666666666
dumbbell step up,step-up_lateral,0.8511904761904762
dumbbell step up,step-up_lateral,0.8511904761904762
dumbbell step up,step-up_lateral step-up,0.8511904761904762
barbell hack squat,single leg split squat_barbell machine,0.8650793650793651
barbell hack squat,single leg split squat_barbell machine,0.8650793650793651
barbell hack squat,squat_barbell machine,0.8650793650793651
prisoner squat,squat_on suspension trainer,0.8898809523809523
barbell reverse lunge,rear lunge_barbell machine,0.9269841269841269
barbell step ups,step-up_lateral,0.8687830687830687
barbell step ups,step-up_lateral,0.8687830687830687
barbell step ups,step-up_lateral step-up,0.8687830687830687
dumbbell rear lunge,rear lunge_barbell machine,0.9265873015873015
smith machine squat,single leg split squat_barbell machine,0.9199999999999999
smith machine squat,squat_alternative machine,0.8666666666666667
smith machine squat,single leg split squat_barbell machine,0.9199999999999999
smith machine squat,squat_with chains,0.8552910052910052
smith machine squat,squat_barbell machine,0.8666666666666667
machine hack squat,squat_hack squat,0.8650793650793651
machine hack squat,single leg split squat_barbell machine,0.8650793650793651
machine hack squat,squat_hack squat,0.8650793650793651
machine hack squat,squat_alternative machine,0.8650793650793651
machine hack squat,single leg split squat_barbell machine,0.8650793650793651
machine hack squat,squat_hack squat,0.8650793650793651
machine hack squat,squat_barbell machine,0.8650793650793651
machine hack squat,squat_hack squat,0.8650793650793651
dumbbell goblet split squat,single leg split squat_barbell machine,0.8616071428571428
dumbbell goblet split squat,single leg split squat_barbell machine,0.8616071428571428
seated high cable row,one arm seated row_seated high row,0.8944444444444445
seated high cable row,one arm seated row_one arm seated high row,0.8944444444444445
seated high cable row,seated low row_seated high row,0.8944444444444445
seated high cable row,seated high row_alternating,0.906060606060606
seated high cable row,seated high row_alternative machine,0.906060606060606
seated high cable row,seated high row,0.8944444444444445
reverse grip bent over row,bent-over row_wide grip,0.9230158730158731
reverse grip bent over row,bent-over row_close grip,0.9230158730158731
smith machine bent-over row,bent-over row_barbell machine,0.9275132275132275
inverted row,seated row,0.8611111111111112
inverted row,seated row (no chest pad),0.8611111111111112
inverted row,bent-over row_wide grip,0.8541666666666667
inverted row,one arm seated row_seated high row,0.8611111111111112
inverted row,bent-over row,0.8541666666666667
inverted row,one arm seated row_seated row,0.8611111111111112
inverted row,inverted row,1.0
inverted row,inverted row_on hips,1.0
inverted row,seated low row_alternating,0.8611111111111112
inverted row,seated row (no chest pad),0.8611111111111112
inverted row,bent-over row,0.8541666666666667
inverted row,bent-over row_underhand,0.8541666666666667
inverted row,one arm seated row,0.8611111111111112
