muscleNstrength,exRx,result,confidence
snatch grip barbell shrug,Barbell Shrug,True,0.6736805555555556
lying cable shrug,Cable Shrug,True,0.7496732026143791
dumbbell shrug,Dumbbell Shrug,True,1.0
dumbbell shrug,Barbell Shrug,True,0.7782738095238095
seated cable shrug,Cable Shrug,True,0.7425925925925926
seated cable shrug,Cambered Barbell Seated Shrug,True,0.6436097427476738
inverted shrug,Suspended Inverted Shrug,True,0.7533950617283951
cable shrug,Cable Shrug,True,1.0
cable shrug,Cable Bar Shrug,True,0.8148148148148149
overhead barbell shrug,Cambered Barbell Seated Shrug,True,0.6980663314176245
overhead barbell shrug,Barbell Shrug,True,0.7261994949494949
clean shrug,Cable Shrug,True,0.7867424242424241
trap bar shrug,Trap Bar Shrug,True,1.0
smith machine shrug,Smith Shrug,True,0.7444583681425787
barbell shrug,Dumbbell Shrug,True,0.8080357142857142
barbell shrug,Cambered Barbell Seated Shrug,True,0.6603482484948002
barbell shrug,Cable Bar Shrug,True,0.7067460317460317
barbell shrug,Barbell Shrug,True,1.0
snatch shrug,Smith Shrug,True,0.7652777777777777
seated dumbbell shrug,Dumbbell Shrug,True,0.7641534391534391
seated dumbbell shrug,Cambered Barbell Seated Shrug,True,0.6665768678160919
smith machine front squat,Smith Front Squat,True,0.8061507936507937
smith machine front squat,Smith Squat,True,0.6528174603174604
front squat,Barbell Front Squat,True,0.7434419381787803
front squat,Dumbbell Front Squat,True,0.7284722222222222
front squat,Weighted Front Squat,True,0.7284722222222222
front squat,Smith Front Squat,True,0.7901960784313726
front squat,Squat,True,0.6151515151515152
single leg valslide leg curl,Single Leg Hanging Hamstring Bridge Curl,True,0.6752232142857144
single leg valslide leg curl,Lever Single Leg Seated Leg Curl,True,0.7625694444444444
dumbbell wall squat,Dumbbell Squat,True,0.8253654970760234
dumbbell stiff leg deadlift,Barbell Straight Leg Deadlift,True,0.7688423645320197
dumbbell stiff leg deadlift,Dumbbell Straight Leg Deadlift,True,0.8628472222222223
leg curl,Hanging Leg Curl,True,0.7076719576719577
leg curl,Lever Single Leg Seated Leg Curl,True,0.5594444444444444
leg curl,Lever Alternating Lying Leg Curl,True,0.5587373737373738
leg curl,Lever Seated Leg Curl,True,0.639781746031746
leg curl,Inverse Leg Curl,True,0.7053571428571429
leg curl,Cable Lying Leg Curl,True,0.6465277777777778
leg curl,Suspended Leg Curl,True,0.6766975308641975
leg curl,Lever Kneeling Leg Curl,True,0.6223505434782608
leg curl,Lever Lying Leg Curl,True,0.6499999999999999
leg curl,Suspended Hanging Leg Curl,True,0.5879566035816036
leg curl,Barbell Inverse Leg Curl,True,0.6078869047619048
leg curl,Weighted Inverse Leg Curl,True,0.6039484126984127
split squat jump,Dumbbell Split Squat,True,0.7055555555555556
split squat jump,Split Squat,True,0.8006944444444445
split squat jump,Smith Split Squat,True,0.7582516339869281
dumbbell goblet squat,Dumbbell Split Squat,True,0.8362433862433862
dumbbell goblet squat,Dumbbell Front Squat,True,0.8185185185185186
dumbbell goblet squat,Dumbbell Squat,True,0.784887566137566
dumbbell rear lunge,Barbell Rear Lunge,True,0.8404866332497911
dumbbell rear lunge,Sled Rear Lunge,True,0.7258040935672514
dumbbell rear lunge,Dumbbell Rear Lunge,True,1.0
dumbbell rear lunge,Rear Lunge,True,0.6993421052631579
straight leg deadlift,Barbell Straight Leg Deadlift,True,0.8301989258347018
straight leg deadlift,Cable Straight Leg Deadlift,True,0.8607638888888889
straight leg deadlift,Trap Bar Straight Leg Deadlift,True,0.8097222222222222
straight leg deadlift,Dumbbell Straight Leg Deadlift,True,0.8239583333333333
straight leg deadlift,Smith Straight Leg Deadlift,True,0.8690972222222222
dumbbell side lunge,Barbell Side Lunge,True,0.8404866332497911
dumbbell side lunge,Dumbbell Side Lunge,True,1.0
dumbbell side lunge,Dumbbell Alternating Side Lunge,True,0.7715298142717497
dumbbell side lunge,Dumbbell Lunge,True,0.8249269005847953
speed squats,Sled Squat,True,0.8
sumo squat,Squat,True,0.6875
leg extension,Cable Standing Leg Extension,True,0.6749669312169313
leg extension,Lever Alternating Leg Extension,True,0.665443412620832
leg extension,Lever Leg Extension,True,0.8161793372319688
one leg 45 degree leg press,Sled 45° Leg Press,True,0.6868364197530864
smith machine zercher squat,Smith Squat,True,0.6358245149911816
kettlebell walking lunge,Barbell Walking Lunge,True,0.7831349206349207
single leg extension,Lever Leg Extension,True,0.7907407407407407
decline bench dumbbell lunge,Dumbbell Lunge,True,0.678844246031746
banded trap bar deadlift,Trap Bar Straight Leg Deadlift,True,0.7
paused trap bar deadlift,Trap Bar Straight Leg Deadlift,True,0.6904513888888889
safety bar squat,Trap Bar Squat,True,0.7452546296296296
safety bar squat,Cable Bar Squat,True,0.7575231481481481
safety bar squat,Barbell Squat,True,0.6644841269841271
safety bar squat,Safety Barbell Squat,True,0.8515873015873017
dumbbell goblet split squat,Dumbbell Split Squat,True,0.8378086419753086
dumbbell goblet split squat,Split Squat,True,0.623900462962963
dumbbell goblet split squat,Cable Split Squat,True,0.6750385802469135
dumbbell goblet split squat,Dumbbell Squat,True,0.697704475308642
dumbbell goblet split squat,Barbell Split Squat,True,0.7192708333333333
leg press,Lever Seated Leg Press,True,0.6538510101010101
leg press,Sled Vertical Leg Press,True,0.6461730072463768
leg press,Sled Single Leg Vertical Leg Press,True,0.5677696078431372
leg press,Sled Single Leg Lying Leg Press,True,0.5818279569892473
leg press,Sled Lying Leg Press,True,0.6770833333333334
leg press,Lever Alternating Lying Leg Press,True,0.5701010101010101
leg press,Sled Seated Leg Press,True,0.6656746031746031
leg press,Lever Single Leg Seated Leg Press,True,0.5708080808080808
weighted sissy squat,Weighted Sissy Squat,True,1.0
weighted sissy squat,Sissy Squat,True,0.7034722222222222
dumbbell split jump,Dumbbell Split Squat,True,0.8486111111111111
front foot elevated dumbbell split squat,Barbell Front Squat,True,0.5738591269841269
