name,url
ankles,https://www.yogajournal.com/poses/anatomy/ankles/
arms,https://www.yogajournal.com/poses/anatomy/arms/
back,https://exrx.net/Lists/ExList/BackWt
belly,https://www.yogajournal.com/poses/anatomy/belly/
calves,https://exrx.net/Lists/ExList/CalfWt
chest,https://exrx.net/Lists/ExList/ChestWt
flexors,https://www.yogajournal.com/poses/anatomy/hip-flexors/
forearms,https://exrx.net/Lists/ExList/ForeArmWt
hands,https://www.yogajournal.com/poses/anatomy/hands/
heart,https://www.yogajournal.com/poses/anatomy/heart/
hips,https://exrx.net/Lists/ExList/HipsWt
kidneys,https://www.yogajournal.com/poses/anatomy/kidneys/
knees,https://www.yogajournal.com/poses/anatomy/knees/
legs,https://www.yogajournal.com/poses/anatomy/legs/
lungs,https://www.yogajournal.com/poses/anatomy/lungs/
neck,https://exrx.net/Lists/ExList/NeckWt
pelvis,https://www.yogajournal.com/poses/anatomy/pelvis/
sacrum,https://www.yogajournal.com/poses/anatomy/sacrum/
shoulders,https://exrx.net/Lists/ExList/ShouldWt
spine,https://www.yogajournal.com/poses/anatomy/spine/
thighs,https://exrx.net/Lists/ExList/ThighWt
upper arms,https://exrx.net/Lists/ExList/ArmWt
waist,https://exrx.net/Lists/ExList/WaistWt
wrists,https://www.yogajournal.com/poses/anatomy/wrists/
