id,name,url,type,equipment,mechanics,force_type,difficulty,overview,instructions,secondary_muscle,group,muscle,image_url
https://www.muscleandstrength.com/exercises/plantar-fascia-lacrosse-ball,plantar fascia lacrosse ball,https://www.muscleandstrength.com/exercises/plantar-fascia-lacrosse-ball,smr,lacrosse ball,isolation,compression,intermediate,"using a lacrosse ball to perform smr on your plantar fascia is a great way to warm up and cool down for your workout , especially if you plan to perform lower body exercises that require the feet to be more mobile.  when you perform smr on the plantar fascia, or any muscle group for that matter, you alleviate some of the tension that is built up during the day and your workouts.","in a standing position, place the lacrosse ball directly underneath the bottom of your foot and apply pressure via your bodyweight.  slowly roll the plantar region for 20-30 seconds.  repeat on the other side.",[],plantar-fascia,['plantar fascia'],https://cdn.muscleandstrength.com/sites/default/files/platar-fascia-lacrosse-ball.jpg
https://www.muscleandstrength.com/exercises/landmine-rotation,landmine rotation,https://www.muscleandstrength.com/exercises/landmine-rotation,strength,landmine,compound,isometric,intermediate,the landmine rotation is a variation of the russian twist and an exercise used to target your obliques.  the landmine rotation utilizes the landmine implement to keep the weight in a fixed movement pattern as you move it through the range of motion.,assume an athletic position with your feet slightly wider than shoulder width and position a barbell in a landmine attachment.  grasp the end of the barbell by your side with both hands overlapping.  rotate your shoulders and keep the arms locked out while allowing the end of the barbell to rotate around your body.  repeat in the opposite direction for the desired number of repetitions.,['abs'],abs,['obliques'],https://cdn.muscleandstrength.com/sites/default/files/landmine-rotation.jpg
https://www.muscleandstrength.com/exercises/tall-kneeling-cable-lift,tall kneeling cable lift,https://www.muscleandstrength.com/exercises/tall-kneeling-cable-lift,strength,cable,compound,isometric,beginner,"the tall kneeling cable lift is a variation of the wood chop and an exercise used to target the muscles of the abdominals. primarily, the tall kneeling cable lift targets the muscles of the obliques.  tall kneeling variations of standing exercises, such as the tall kneeling cable lift, can be used as a way to progress to the standing variation by helping you develop the prerequisite core stability needed for standing variations.","assume a tall kneeling position and attach a rope to a cable stack at the lowest possible position.  position the inside knee down and set up with both hands grasping the ends of the rope.  pull the rope to chest height and then press diagonally overhead.  return to the starting position, repeat for the desired number of repetitions, and then switch sides.",['abs'],abs,['obliques'],https://cdn.muscleandstrength.com/sites/default/files/tall-kneeling-cable-lift.jpg
https://www.muscleandstrength.com/exercises/side-plank-with-hip-dip,side plank with hip dip,https://www.muscleandstrength.com/exercises/side-plank-with-hip-dip,strength,bodyweight,compound,isometric,beginner,the side plank with hip dip is a variation of the side plank and an exercise used to strengthen the obliques.  the side plank with hip dip adds an additional range of motion to provide a slight contraction of the obliques while performing the side plank.,assume a side lying position with your forearm resting on the floor.  lift your hips and form a straight line from your shoulders through your ankles.  slowly allow the hips to dip and get close to touching the floor.  return back to the starting position and repeat for the desired number of repetitions on both sides.,['abs'],abs,['obliques'],https://cdn.muscleandstrength.com/sites/default/files/side-plank-with-hip-dip.jpg
https://www.muscleandstrength.com/exercises/wood-chop.html,wood chop,https://www.muscleandstrength.com/exercises/wood-chop.html,strength,cable,compound,isometric,beginner,"the standing cable chop is an exercise used to target the muscles of the abdominal complex. in particular, the standing cable chop primarily works the obliques.  the standing cable chop is also commonly referred to as the wood chop as when you perform the exercise, you look as though you’re slinging an axe to chop a piece of wood.","assume an athletic position with your feet just outside of shoulder width and attach a rope to a cable stack overhead.  position the inside leg in hip flexion and set up with both hands grasping the rope at roughly shoulder width apart.  exhale, rotate the rope across your body, and chop to the down knee.  return to the starting position, repeat for the desired number of repetitions, and then switch sides.",['abs'],abs,['obliques'],https://cdn.muscleandstrength.com/sites/default/files/wood-chop.jpg
https://www.muscleandstrength.com/exercises/foam-rolling-it-band,it band foam rolling,https://www.muscleandstrength.com/exercises/foam-rolling-it-band,smr,foam roll,isolation,compression,beginner,"foam rolling your it band is a great way to warm up and cool down for your workout, especially if you plan to perform lower body exercises that require the it band to be more mobile.  when you foam roll the it band, or any muscle group for that matter, you alleviate some of the tension that is built up during the day and your workouts.","in a side lying position, place the foam roller directly underneath your thigh between your knee and hip.  support your upper body using your forearm and free hand. cross your top leg in front of the down leg and adjust pressure into the roller with your free hand and foot.  slowly roll up and down the length of the thigh for 20-30 seconds.  repeat on the other side.",[],ThighWt,['it band'],https://cdn.muscleandstrength.com/sites/default/files/foam-rolling-it-band.jpg
https://www.muscleandstrength.com/exercises/seated-row.html,seated cable row,https://www.muscleandstrength.com/exercises/seated-row.html,strength,cable,compound,pull,beginner,,"set the appropriate weight on the weight stack and attach a close-grip bar or v-bar to the seated row machine.  grasp the bar with a neutral grip (palms facing in).  keeping your legs slightly bent and your back straight, pull the weight up slightly off the stack. you should be sitting straight upright with your shoulders back. this is the starting position.  keeping your body in position, pull the handle into your stomach.  pull your shoulder blades back, squeeze, pause, and then slowly lower the weight back to the starting position.  repeat for desired reps.","['latissimus dorsi', 'shoulders', 'biceps brachii']",BackWt,"['back', 'subscapularis', 'upper back', 'infraspinatus']",https://cdn.muscleandstrength.com/sites/default/files/cable-row.jpg
https://www.muscleandstrength.com/exercises/glute-kick-back.html,glute kick back,https://www.muscleandstrength.com/exercises/glute-kick-back.html,strength,bodyweight,isolation,push (unilateral),beginner,"the quadruped hip extension, commonly referred to as the glute kick back, is an exercise used to isolate the glute muscles. it is also an excellent option to use as an activation drill to warm up the glutes.  they are also referred to as the donkey kick, because when you perform them you look like a donkey kicking with their hind leg.","setup in a quadruped position with your hands underneath your shoulders, knees underneath your hips, and toes tucked.  while keeping a neutral spine and a 90 degree angle at the knee, extend the hip and drive the heel towards the ceiling.  slowly return to the starting position and repeat for the desired number of repetitions on both sides.",['hamstrings'],glutes,['gluteus maximus'],https://cdn.muscleandstrength.com/sites/default/files/glute-kick-back.jpg
https://www.muscleandstrength.com/exercises/hyperextension.html,hyperextension,https://www.muscleandstrength.com/exercises/hyperextension.html,strength,bodyweight,isolation,hinge (bilateral),beginner,"the hyperextension is a variation of the hip hinge movement pattern and an exercise used to target the glutes.  some may choose to utilize this exercise to target their lower back. however, for optimal health and maximum benefits, it is best to think of this exercise as a glute exercise.  hyperextensions can be included in your leg workouts and full body workouts .",setup in a hyperextension machine with your feet anchored and torso roughly perpendicular to your legs at a 45 degree angle.  begin in a hinged position with your arms crossed and initiate the movement by flexing your glutes.  extend the hips and finish with your body in a straight line.  repeat for the desired number of repetitions.,"['hamstrings', 'lower back']",glutes,['gluteus maximus'],https://cdn.muscleandstrength.com/sites/default/files/hyperextensions.jpg
https://www.muscleandstrength.com/exercises/machine-row.html,machine row,https://www.muscleandstrength.com/exercises/machine-row.html,strength,machine,compound,pull,beginner,,"set up for the hammer strength machine row my adding weight plates and setting the seat height into position. your chest should be at the top of the pad.  sit down on the machine and grasp the handles with a neutral grip.  keeping your chest fixed on the pad, eyes facing forwards, and elbows in at your sides, slowly pull the handles back as far as possible.  pause, squeezing your shoulder blades together, and then slowly lower the weight back to the starting position without allowing it to drop.  repeat for desired reps.","['latissimus dorsi', 'biceps brachii']",BackWt,"['back', 'upper back']",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/machinerow1.jpg?itok=rwzZIJ9w
https://www.muscleandstrength.com/exercises/good-mornings.html,good mornings,https://www.muscleandstrength.com/exercises/good-mornings.html,strength,barbell,compound,hinge (bilateral),intermediate,"the good morning is a variation of the hip hinge and an exercise used to target the glutes.  some may choose to utilize this exercise to target their lower back. however, for optimal health and maximum benefits, it is best to think of this exercise as a glute exercise.  good mornings can be included in your leg workouts and full body workouts .","set a bar just below shoulder height in a rack and adjust the safeties to just above hip height.  set your hands equidistant apart, step underneath, and position the bar on your traps (or slightly below if you prefer a low bar version).  begin the movement by unlocking your knees and hinging back into the hips while keeping your spine neutral.  drive through the whole foot as you extend the hip back to the starting position.  repeat for the desired number of repetitions.","['hamstrings', 'upper back', 'abs', 'lower back']",glutes,"['erector spinae', 'gluteus maximus']",https://cdn.muscleandstrength.com/sites/default/files/standing-good-morning.jpg
