yoga1,relation,yoga2
child's pose,FOLLOWS,"balasana can appear at the beginning of class or near the end. the pose doesn't necessarily require warm-up, although it can help you to settle into relaxation when you first stretch your hips and shoulders."
crow pose,FOLLOWS,four-limbed staff pose
cat pose,FOLLOWS,tabletop
cow pose,FOLLOWS,cat pose
cow pose,FOLLOWS,child's pose
cow pose,FOLLOWS,easy pose
corpse pose,FOLLOWS,"any poses you practiced prior to savasana serve as your preparatory poses. corpse pose is the culmination of your practice, so there are no counter poses afterward. however, after you slowly make your way out of savasana, you can follow it with"
corpse pose,FOLLOWS,easy pose
corpse pose,FOLLOWS,easy pose for quiet meditation.
chair pose,FOLLOWS,mountain pose
bow pose,FOLLOWS,"before attempting this intense pose, bring your body into progressively challenging backbends as well as poses that stretch the front of your hips and legs."
bound angle pose,FOLLOWS,"baddha konasana is an intense hip stretch for many students, but there's no need to force it. ease your way into it by first practicing other poses that target your hip flexors. it helps to come into increasingly challenging hip stretches."
bridge pose,FOLLOWS,cobra pose
cobra pose,FOLLOWS,locust pose
cobra pose,FOLLOWS,sphinx pose
camel pose,FOLLOWS,cobra pose
big toe pose,FOLLOWS,reclining hand-to-big-toe pose
big toe pose,FOLLOWS,downward-facing dog pose
big toe pose,FOLLOWS,standing forward bend
big toe pose,FOLLOWS,pashchimottanasana
big toe pose,FOLLOWS,reclining hand-to-big-toe pose
boat pose,FOLLOWS,"before undertaking boat pose, you want to stretch and challenge your body in the same manner demanded by this challenging pose. that means stretching your hamstrings and low back, engaging your abdominals, and lifting your chest without overarching your low back."
reclining bound angle pose,FOLLOWS,bound angle pose
reclining bound angle pose,FOLLOWS,reclining hand-to-big-toe pose
reclining bound angle pose,FOLLOWS,hero pose
reclining bound angle pose,FOLLOWS,tree pose
bharadvaja's twist,FOLLOWS,bound angle pose
bharadvaja's twist,FOLLOWS,pose dedicated to the sage marichi
bharadvaja's twist,FOLLOWS,half lord of the fishes pose
reclining hero pose,FOLLOWS,bound angle pose
reclining hero pose,FOLLOWS,child's pose
reclining hero pose,FOLLOWS,cobra pose
reclining hero pose,FOLLOWS,leg position
reclining hero pose,FOLLOWS,hero pose
