workout_name,relation,exercise
full-body-bodyweight-workout.html_0,INCLUDES,bodyweight jump squat
jai-courtney-workout-terminator-genisys_0,INCLUDES,bodyweight jump squat
3-day-kettlebell-bodyweight_2,INCLUDES,bodyweight jump squat
best-hiit-workouts_2,INCLUDES,bodyweight jump squat
30-day-military-athlete-workout-program_1,INCLUDES,bodyweight jump squat
chris-evans-workout-program_0,INCLUDES,bodyweight jump squat
tactical-physique-strength-conditioning-workout_2,INCLUDES,bodyweight jump squat
womens-fitness-trainer-6-week-strength-workout_2,INCLUDES,bodyweight jump squat
zac-efron-workout_1,INCLUDES,bodyweight jump squat
12-week-military-workout-program_4,INCLUDES,bodyweight jump squat
6-week-navy-seal-workout-routine_1,INCLUDES,bodyweight jump squat
12-week-womens-bikini-prep-workout_2,INCLUDES,bodyweight jump squat
6-week-summer-workout-challenge_1,INCLUDES,bodyweight jump squat
fast-furious-21-day-shredding-workout-diet_4,INCLUDES,bodyweight jump squat
tactical-tabata_0,INCLUDES,bodyweight jump squat
tactical-tabata_1,INCLUDES,bodyweight jump squat
8-week-muscle-building-bodyweight-workout_2,INCLUDES,bodyweight jump squat
8-week-muscle-building-bodyweight-workout_3,INCLUDES,bodyweight jump squat
8-week-muscle-building-bodyweight-workout_4,INCLUDES,bodyweight jump squat
6-week-bodyweight-only-workout_0,INCLUDES,bodyweight jump squat
6-week-bodyweight-only-workout_1,INCLUDES,bodyweight jump squat
calisthenics-workout-to-improve-performance_1,INCLUDES,bodyweight jump squat
calisthenics-workout-to-improve-performance_2,INCLUDES,bodyweight jump squat
single-pair-dumbbell-bodyweight-workout_3,INCLUDES,bodyweight jump squat
full-body-bodyweight-workout.html_0,INCLUDES,push up
quarter-rep-method_0,INCLUDES,push up
8-week-program-to-create-a-superhuman-chest_1,INCLUDES,push up
captain-america-winter-soldier-physique_1,INCLUDES,push up
captain-america-winter-soldier-physique_4,INCLUDES,push up
pain-gain-dwayne-johnson-mark-wahlberg-workout_1,INCLUDES,push up
pain-gain-dwayne-johnson-mark-wahlberg-workout_6,INCLUDES,push up
5-day-body-part-split-planet-fitness-workout_0,INCLUDES,push up
band-barbell-workout_0,INCLUDES,push up
limited-equipment-home-workout_1,INCLUDES,push up
3-day-kettlebell-bodyweight_0,INCLUDES,push up
3-day-kettlebell-bodyweight_2,INCLUDES,push up
total-body-torcher_0,INCLUDES,push up
total-body-torcher_1,INCLUDES,push up
total-body-torcher_1,INCLUDES,push up
5-day-home-muscle-building-workout_0,INCLUDES,push up
tom-hardy-venom-workout_0,INCLUDES,push up
dave-bautista-workout-program_1,INCLUDES,push up
sylvester-stallone-workout_3,INCLUDES,push up
eugen-sandow-workout_0,INCLUDES,push up
eugen-sandow-workout_1,INCLUDES,push up
chris-pratt-workout-program_4,INCLUDES,push up
batman-workout-routine_1,INCLUDES,push up
batman-workout-routine_7,INCLUDES,push up
batman-workout-routine_11,INCLUDES,push up
300-spartan-workout_0,INCLUDES,push up
best-hiit-workouts_2,INCLUDES,push up
6-day-push-pull-legs-planet-fitness-workout_3,INCLUDES,push up
guns-a-blazing-workout_1,INCLUDES,push up
30-day-military-athlete-workout-program_0,INCLUDES,push up
30-day-military-athlete-workout-program_2,INCLUDES,push up
30-day-military-athlete-workout-program_4,INCLUDES,push up
4-day-workout-to-build-muscle_3,INCLUDES,push up
chris-evans-workout-program_1,INCLUDES,push up
build-wider-back_0,INCLUDES,push up
the-ultimate-bro-split_0,INCLUDES,push up
the-best-upper-body-workout-routine_0,INCLUDES,push up
michael-b-jordan-workout-program_4,INCLUDES,push up
m-f-workout-routine_1,INCLUDES,push up
conjugate-system-beginner-powerlifting-workout-phase-2_9,INCLUDES,push up
4-week-beginner-workout-for-women_0,INCLUDES,push up
4-day-at-home-womens-workout_0,INCLUDES,push up
brie-larson-workout-routine_0,INCLUDES,push up
tactical-physique-strength-conditioning-workout_4,INCLUDES,push up
3-day-full-body-workout-for-tall-girls_2,INCLUDES,push up
womens-fitness-trainer-6-week-strength-workout_1,INCLUDES,push up
bikini-ready-8-week-womens-workout_0,INCLUDES,push up
5-day-womens-dumbbell-only-workout_0,INCLUDES,push up
a-b-2-day-workout-for-busy-people_0,INCLUDES,push up
full-body-workout-program-for-tall-guys_2,INCLUDES,push up
