exercise,relation,muscle
plantar fascia lacrosse ball,TARGETS,plantar fascia
landmine rotation,TARGETS,obliques
tall kneeling cable lift,TARGETS,obliques
side plank with hip dip,TARGETS,obliques
wood chop,TARGETS,obliques
it band foam rolling,TARGETS,it band
seated cable row,TARGETS,back
seated cable row,TARGETS,subscapularis
seated cable row,TARGETS,upper back
seated cable row,TARGETS,infraspinatus
glute kick back,TARGETS,glutes
hyperextension,TARGETS,glutes
machine row,TARGETS,back
machine row,TARGETS,upper back
good mornings,TARGETS,glutes
good mornings,TARGETS,erector spinae
reverse grip bent-over dumbbell row,TARGETS,back
reverse grip bent-over dumbbell row,TARGETS,upper back
bodyweight glute bridge,TARGETS,glutes
standing wrist curl behind back,TARGETS,forearms
weight plate pinches,TARGETS,forearms
wrist rollers,TARGETS,wrist flexors
wrist rollers,TARGETS,forearms
wrist rollers,TARGETS,wrist extensors
dumbbell wrist curl over bench,TARGETS,forearms
reverse grip barbell curl,TARGETS,brachioradialis
reverse grip barbell curl,TARGETS,forearms
reverse grip barbell curl,TARGETS,wrist extensors
barbell bench press,TARGETS,pectoralis major-sternal
barbell bench press,TARGETS,anterior deltoid
barbell bench press,TARGETS,chest
barbell bench press,TARGETS,pectoralis major-clavicular
standing alternate dumbbell reverse curl,TARGETS,brachioradialis
standing alternate dumbbell reverse curl,TARGETS,forearms
fat gripz dumbbell farmers carry,TARGETS,forearms
dumbbell flys,TARGETS,pectoralis major-sternal
dumbbell flys,TARGETS,chest
dumbbell flys,TARGETS,pectoralis major-clavicular
reverse dumbbell wrist curl over bench,TARGETS,forearms
one arm reverse dumbbell preacher curl,TARGETS,forearms
one arm reverse dumbbell preacher curl,TARGETS,wrist extensors
decline dumbbell bench press,TARGETS,pectoralis major-sternal
decline dumbbell bench press,TARGETS,anterior deltoid
decline dumbbell bench press,TARGETS,chest
decline dumbbell bench press,TARGETS,pectoralis major-clavicular
standing cable fly,TARGETS,pectoralis major-sternal
standing cable fly,TARGETS,chest
standing cable fly,TARGETS,pectoralis major-clavicular
one arm kettlebell swing,TARGETS,hamstrings
glute ham raise (ghr),TARGETS,hamstrings
double kettlebell single leg deadlift,TARGETS,hamstrings
snatch grip deadlift,TARGETS,hamstrings
dumbbell stiff leg deadlift (on bench),TARGETS,hamstrings
single leg valslide leg curl,TARGETS,hamstrings
weighted crunch,TARGETS,obliques
weighted crunch,TARGETS,abs
weighted crunch,TARGETS,rectus abdominis
banded conventional deadlift,TARGETS,hamstrings
snatch grip deficit deadlift,TARGETS,hamstrings
hamstring foam rolling,TARGETS,hamstrings
trap bar deadlift against chains,TARGETS,hamstrings
standing cable reverse curl,TARGETS,brachioradialis
standing cable reverse curl,TARGETS,forearms
standing cable reverse curl,TARGETS,wrist extensors
pallof press,TARGETS,abs
twisting hanging knee raise,TARGETS,obliques
twisting hanging knee raise,TARGETS,abs
straight leg toe touch (floor toe reach),TARGETS,abs
floor crunch (legs on bench),TARGETS,abs
floor crunch (legs on bench),TARGETS,rectus abdominis
jump rope,TARGETS,calves
exercise ball on-the-wall calf raise,TARGETS,calves
(posterior) calves tiger tail,TARGETS,calves
abdominal air bike (aka bicycle),TARGETS,abs
reverse crunch to dead bug,TARGETS,abs
abominal hip thrust,TARGETS,abs
kettlebell racked crossover walk,TARGETS,forearms
one arm seated dumbbell wrist curl,TARGETS,wrist flexors
one arm seated dumbbell wrist curl,TARGETS,forearms
one arm seated dumbbell wrist curl,TARGETS,wrist extensors
half kneeling push-pull,TARGETS,abs
standing barbell twist,TARGETS,obliques
standing barbell twist,TARGETS,abs
decline bench leg raise,TARGETS,abs
decline bench leg raise,TARGETS,rectus abdominis
decline abdominal reach,TARGETS,abs
bench jack knife,TARGETS,abs
standing smith machine wrist curl (behind back),TARGETS,forearms
ez bar reverse grip preacher curl,TARGETS,forearms
decline bench knee raise,TARGETS,abs
tall kneeling push-pull,TARGETS,abs
snatch,TARGETS,quads
narrow stance high bar back squat,TARGETS,quads
split squat with iso-hold,TARGETS,quads
