name,relation,anatomy
child's pose,TARGETS,thighs
child's pose,TARGETS,ankles
child's pose,TARGETS,hips
crow pose,TARGETS,abs
crow pose,TARGETS,back
crow pose,TARGETS,flexors
crow pose,TARGETS,wrists
crow pose,TARGETS,arms
crow pose,TARGETS,belly
crow pose,TARGETS,hands
cat pose,TARGETS,back
cat pose,TARGETS,pelvis
cat pose,TARGETS,lungs
cat pose,TARGETS,hips
cat pose,TARGETS,heart
cat pose,TARGETS,kidneys
cat pose,TARGETS,neck
cat pose,TARGETS,spine
cat pose,TARGETS,shoulders
cat pose,TARGETS,belly
cow pose,TARGETS,back
cow pose,TARGETS,pelvis
cow pose,TARGETS,lungs
cow pose,TARGETS,hips
cow pose,TARGETS,heart
cow pose,TARGETS,kidneys
cow pose,TARGETS,neck
cow pose,TARGETS,spine
cow pose,TARGETS,shoulders
cow pose,TARGETS,belly
chair pose,TARGETS,thighs
chair pose,TARGETS,legs
chair pose,TARGETS,ankles
chair pose,TARGETS,back
chair pose,TARGETS,heart
chair pose,TARGETS,spine
chair pose,TARGETS,belly
bow pose,TARGETS,thighs
bow pose,TARGETS,flexors
bow pose,TARGETS,heart
bow pose,TARGETS,neck
bow pose,TARGETS,spine
bow pose,TARGETS,shoulders
bow pose,TARGETS,belly
bound angle pose,TARGETS,thighs
bound angle pose,TARGETS,legs
bound angle pose,TARGETS,hamstrings
bound angle pose,TARGETS,knees
bound angle pose,TARGETS,hips
bound angle pose,TARGETS,heart
bound angle pose,TARGETS,kidneys
bound angle pose,TARGETS,belly
bridge pose,TARGETS,legs
bridge pose,TARGETS,abs
bridge pose,TARGETS,knees
bridge pose,TARGETS,back
bridge pose,TARGETS,flexors
bridge pose,TARGETS,pelvis
bridge pose,TARGETS,lungs
bridge pose,TARGETS,heart
bridge pose,TARGETS,kidneys
bridge pose,TARGETS,neck
bridge pose,TARGETS,spine
bridge pose,TARGETS,belly
cobra pose,TARGETS,back
cobra pose,TARGETS,gluteus maximus
cobra pose,TARGETS,lungs
cobra pose,TARGETS,heart
cobra pose,TARGETS,kidneys
cobra pose,TARGETS,spine
cobra pose,TARGETS,shoulders
cobra pose,TARGETS,belly
cobra pose,TARGETS,hands
camel pose,TARGETS,thighs
camel pose,TARGETS,ankles
camel pose,TARGETS,flexors
camel pose,TARGETS,neck
camel pose,TARGETS,spine
camel pose,TARGETS,shoulders
camel pose,TARGETS,belly
big toe pose,TARGETS,thighs
big toe pose,TARGETS,legs
big toe pose,TARGETS,hamstrings
