name,relation,equipment
dumbbell goblet squat,USES,dumbbell
barbell back squat,USES,bar
barbell back squat,USES,barbell
leg extension,USES,leg extension machine
dumbbell lunge,USES,dumbbell
dumbbell squat,USES,dumbbell
leg press,USES,leg press machine
machine hack squat,USES,hack squat machine
dumbbell rear lunge,USES,dumbbell
one leg dumbbell squat (aka dumbbell bulgarian split squat),USES,dumbbell
front squat,USES,bar
front squat,USES,barbell
frog squat,USES,dumbbell
dumbbell step up,USES,dumbbell
dumbbell step up,USES,bench
barbell lunge,USES,bar
barbell lunge,USES,barbell
dumbbell split squat,USES,dumbbell
bodyweight side lunge,USES,bodyweight
dumbbell walking lunge,USES,dumbbell
bodyweight jump squat,USES,bodyweight
dumbbell side lunge,USES,dumbbell
single leg squat from bench,USES,bench
neck tiger tail,USES,tiger tail
plantar fascia lacrosse ball,USES,lacrosse ball
reverse bodyweight lunge,USES,bodyweight
prisoner squat,USES,bodyweight
smith machine front squat,USES,smith machine
smith machine front squat,USES,smith machine
barbell thruster,USES,bar
barbell thruster,USES,barbell
palmar fascia lacrosse ball,USES,lacrosse ball
dumbbell deadlift,USES,dumbbell
side crunch (aka oblique crunch),USES,bodyweight
bodyweight walking lunge,USES,bodyweight
plie squat,USES,dumbbell
kettlebell step up,USES,kettlebell
kettlebell step up,USES,kettle bells
smith machine lunge,USES,smith machine
superman,USES,bodyweight
90/90 hip crossover,USES,bodyweight
smith machine deadlift,USES,smith machine
smith machine deadlift,USES,smith machine
smith machine deadlift,USES,smith machine
low cable wood chop,USES,cable
half kneeling cable chop,USES,cable chop machine
half kneeling cable chop,USES,cable chop machine
off bench oblique hold,USES,other
split stance cable lift,USES,cable
tall kneeling cable lift,USES,cable
landmine rotation,USES,landmine
landmine rotation,USES,barbell
half kneeling cable lift,USES,cable
half kneeling cable lift,USES,half kneeling cable lift machine
tire flip,USES,tire
prone quad stretch,USES,bodyweight
kettlebell goblet squat,USES,kettlebell
kettlebell goblet squat,USES,kettle bells
narrow stance machine hack squat,USES,hack squat machine
rollover into v-sits,USES,bodyweight
split stance cable chop,USES,cable chop machine
