name,description,target_areas,benefits,preparatory_poses,followup_poses,instructions,variation,url,sanskrit_Name,pose_Type,Anatomies,alternate_name,position
child’s pose,"['Child’s Pose (Balasana) centers on creating a moment of rest or respite. It is a foundational yoga posture that reminds us that inaction and “non-doing” can be just as valuable as action and doing.', 'Because it involves bending forward over the knees and compressing the body on the mat or floor, it can be challenging—physically and emotionally. But there are variations that can help different bodies relax into the pose. And learning to surrender into the pose is an important part of the practice.', '“When I begin a yoga flow with Child’s Pose, I appreciate that this posture gives me', ',” says', 'contributing editor Gina Tomaine. “Every time I get into the pose, I can’t help but feel a sense of peace and quiet. It’s a physical expression of mental calmness and a childlike ‘timeout.’ It’s one of my favorite poses because it’s always where I set an intention for my practice—and where I remember to come back to as much calmness and focus as I can muster, even on busy days.”', 'Balasana (', ')', '= child']",['Full Body'],['Other Child’s Pose perks:'],"['Balasana can appear at the beginning of class or near the end. The pose doesn’t necessarily require warm-up, although it can help you to settle into relaxation when you first stretch your hips and shoulders.']",[],"['Kneel on the floor. Touch your big toes together and sit on your heels, then separate your knees about as wide as your hips. (For more of a massage along the front of the body, keep your knees closer together.)', 'Exhale and fold forward; lay your torso down between your thighs. Narrow your hip points toward the navel, so that they nestle down onto the inner thighs. Broaden across the back of your pelvis at the sacrum and lengthen your tailbone away from the back. Tuck your chin slightly to lift the base of your skull away from the back of your neck.', 'Walk your hands out toward the front of your mat for Extended Child’s pose. Or reach back toward your feet and rest the arms on the floor alongside your torso, palms up, releasing the fronts of your shoulders toward the floor. Allow the weight of the shoulders to pull the shoulder blades wide across your back.', 'Balasana is a resting pose. Stay anywhere from 30 seconds to a few minutes.', 'To come up, first lengthen the front torso, and then with an inhalation lift from the tailbone as it presses down and into the pelvis.']","['Child’s Pose with a bolster', 'Begin on your hands and knees. Place a bolster vertically between your inner thighs and slowly release down onto it. A rolled blanket or pillow placed between the backside of your thighs and calves may provide further support.', 'Bring your forehead or cheek to the bolster. If you rest a cheek on the bolster, be sure to flip to the opposite cheek after a few breaths to maintain an even stretch across both sides of your neck. If you have a longer torso, you may need to place block under your forehead or cheek to keep your neck in line with your spine.', 'Take at least 8–10 deep breaths, or remain in the pose as long as you like.', 'Child’s Pose with a block', 'Begin on your forearms and knees. Rest your forehead on a block or bolster for support. Your toes can be tucked under or released down to the floor. Take at least 8–10 deep breaths, or remain in the pose as long as you like.', 'Section divider']",https://www.yogajournal.com/poses/child-s-pose/,Balasana,"['Forward Bend Yoga Poses', 'Hip-Opening Yoga Poses', 'Restorative Yoga Poses']","['Thighs', 'Ankles', 'Hips']",,[]
crow pose,"['For many of us, our first attempt at an arm balance isn’t always successful (or pretty), which makes this type of yoga pose challenging to the body', 'the ego. Bakasana (Crane Pose) and Kakasana (Crow Pose) are among the first arm balances that many students achieve. Getting into the pose can feel nearly impossible—until it doesn’t. These poses offer you an opportunity to feel both strong and flexible, which can motivate you to challenge yourself in other ways in your practice.', 'While Crane and Crow are technically two different poses, many people practice these as modifications of one another. Kakasana (Crow Pose) is done with your arms bent and your knees resting on your upper arms. In Bakasana (Crane Pose), your arms are straight and your knees are tucked closer to your underarms. Play with variations that work best for your body.', 'To get into either pose, you need to activate your abdominal muscles, press into your hands, engage your shoulder blades, squeeze your legs together in midline, and above all else, trust yourself. Bakasana teaches you to create connections between your arms and knees, abdominals and spine, mind and body.', 'The result? Strengthened abdominal muscles, arms, and wrists, and a stretch in your upper back and inner groin. But perhaps even better, you may enjoy the confidence that comes with facing your fears and somehow managing to hold it all together while simultaneously letting go.', 'Kakasana (', '); Bakasana (', ')', '= crane', '= crow']",['Upper body'],"['Crow Pose and Crane Pose improve focus and stretch your buttocks (glutes), front of your thighs (quadriceps), and the palm sides of your wrists (wrist flexors). These poses also strengthen your core, upper back, chest, front of your hips (hip flexors), back of your thighs (hamstrings), arms, shoulders, forearms, and back of your wrists (wrist extensors).']",['Chaturanga Dandasana (Four-Limbed Staff Pose)'],['Chaturanga Dandasana (Four-Limbed Staff Pose)'],"['Begin in a squat with your knees wide apart.', 'Your feet may be together or apart.', 'Place your hands on the floor 6–8 inches in front of your feet and shoulder-distance apart. If your shoulders are tight, your hands can be a little wider.', 'Come onto the balls of your feet and lift your hips high. Bring your knees toward your upper arms.', 'Tilt your torso forward so that your shoulders fit between your knees.', 'Firmly press your knees to your upper arms. You can balance them on your triceps for Crow or tuck them closer to your armpits for Crane.', 'Continue to reach your chest forward', 'until your elbows stack over your wrists and you feel your center of gravity shift.', 'Lift your heels toward your buttocks.', 'Your knees can either grip your outer shoulders or balance on your triceps.', 'For Crane, press your arms as straight as possible while bringing your feet and buttocks toward each other.', 'Hold for 5–10 breaths, then either release your feet to the floor.']","['Because Bakasana and Kakasana are so closely related, these poses offer a great deal of\xa0 flexibility in finding “your” pose. You can practice subtly different degrees of bending in your elbows and various knee positions to find what works for your body. You can also work with props to help support you in lifting into the pose.', 'Photo: Andrew Clark; Clothing: Calia', 'Crow Pose prep', 'Press your arms into your knees and knees into arms to find strength and stability. Shifting your body forward, come up on the tips of your toes. Engage your ab muscles as you lift one leg. Lower that leg and lift your other leg. Work toward lifting both feet at the same time.', 'Photo: Andrew Clark; Clothing: Calia', 'Crow Pose with a block', 'Try placing a block underneath your feet. This enables you to bring your shins higher on your upper arms, even if you have tight hips; this increases the likelihood of you getting into the pose. Engage your ab muscles as you lift one leg. Lower that leg and lift your other leg. Work toward lifting both feet at the same time.', 'Photo: Andrew Clark', 'Reclining Crow Pose', 'To get a feel for experiencing this shape without needing to balance your weight, try coming into Crane or Crow on your back. Bring your shins to the outside of your upper arms, and press your shins and arms against one together. You can keep your head down or lift it for a few breaths. Your elbows can be bent or straight.', 'Clothing: Calia Photo: Andrew Clark', 'Crow Pose with a chair', 'As you work on straightening your arms, try bringing your feet onto the seat of a chair and bringing your hands on the ground below underneath your shoulders. Bring your knees to your upper arms so you can start to feel the shape required without having to balance or bear your full weight.', 'Section divider']",https://www.yogajournal.com/poses/crane-pose/,Bakasana,"['Arm Balance Yoga Poses', 'Core Yoga Poses']","['Hands', 'Belly', 'Back', 'Wrists', 'Back', 'Arms', 'Flexors', 'Back', 'Abs']",crane pose,[]
cat pose,"['You will encounter Marjaryasana (Cat Pose) and its counter pose', '(Bitilasana) in many yoga classes. And for good reason: These poses help warm up the spine. Cat Pose can serve as a prep for forward bends and an expansive counter pose to inversions and backbends.', 'While in this pose, focus on tucking your tailbone, rounding your spine and releasing your neck, says yoga teacher Nicola Jane Hobbs, author of', 'and', '. Completely surrendering to this pose—and breathing through it—will make your body feel at ease.', 'Marjaryasana\xa0(', ')', '= cat', '= pose']",['Core'],['Other Cat Pose perks'],['Tabletop'],['Bitilasana (Cow Pose)'],"['Begin Tabletop with your hips directly over your knees. Your hands should be shoulder-distance apart and slightly ahead of your shoulders. The wrist creases should be\xa0parallel to the front of the mat.', 'Press down firmly through your hands.', 'Exhale and round your spine toward the ceiling. Drop the crown of your head and your tailbone. Draw your lower belly in and up.', 'Push the floor away with your hands to broaden across your shoulder blades.', 'Keep the hips over your knees and your arms straight to keep the movement in your spine.', 'To release the pose, return to a neutral spine.']","['Photo: Andrew Clark', 'Cat Pose with blocks', 'If you have pain in your wrists or hands, bring your forearms to blocks. If you don’t have blocks, you can bring your forearms to the floor.', 'Photo: Andrew Clark; Clothing: Calia', 'Cat Pose in a chair', 'Sit on a chair with your feet under your knees at hip-width distance apart. If you are taller, you may need to sit on folded blankets. If you are shorter, you may need to put folded blankets or blocks under your feet, so that your knees are at a 90-degree angle and your thighs are parallel to the ground. Sit as tall as you can. Then exhale to round your spine while tucking your chin down toward your chest.', 'Section divider']",https://www.yogajournal.com/poses/cat-pose/,Marjaryasana,['Core Yoga Poses'],"['Belly', 'Kidneys', 'Back', 'Neck', 'Back', 'Spine', 'Shoulders', 'Pelvis', 'Heart', 'Lungs', 'Hips', 'Back']",,[]
cow pose,"['Bitilasana (Cow Pose), a backbend, is commonly paired with', '(Cat Pose) at the beginning of a vinyasa flow to warm up your body—especially your spine—for other poses.\xa0Cow helps relieve tension in your upper body, especially in your back, shoulders, and neck, and it gently massages the spine to increase mobility.', 'This simple pose allows for a strong front-body stretch, from chin to pubic bone. “Lift your tailbone to arch your back, letting your stomach hang toward the floor, drawing your shoulders away from your ears, and lifting your head,” says yoga teacher Nicola Jane Hobbs, author of', 'and', '.', 'When pairing this pose with Cat Pose, follow your breath: Move into Cat as you exhale, and into Cow on your inhalation.', 'Bitilasana', '= cow', '= pose']",['Core'],['Other Cow Pose Perks'],"['Marjaryasana (Cat Pose)', 'Balasana (Child’s Pose)', 'Sukhasana (Easy Pose)']","['Marjaryasana (Cat Pose)', 'Balasana (Child’s Pose)', 'Uttanasana (Standing Forward Bend)', 'Sphinx Pose', 'Salabhasana (Locust Pose)', 'Urdhva Mukha Svanasana (Upward-Facing Dog Pose)']","['Begin in Tabletop with your hips directly over your knees and your hands slightly ahead of your shoulders, shoulder-distance apart. Your wrist creases should be parallel to the front of your mat.', 'Press down firmly through your hands.', 'Inhale and arch your back by lowering your belly, lifting your chin and sternum, and broadening your collarbones.', 'Keep the back of your neck long and your core slightly toned to find more movement in the mid and upper back.', 'To release the pose, return to a neutral spine.']","['Photo: Christopher Dougherty', 'Cow Pose with blocks', 'If you have pain in your wrists or hands, bring your forearms to blocks or the floor.', 'Cow Pose in a chair', 'Sit with your feet under your knees at hip-width apart. If you are relatively tall, you may need to sit on folded blankets to keep your knees at a 90-degree angles with your thighs parallel to the ground. If you are somewhat shorter, you may need to put folded blankets or blocks under your feet. Sit as tall and straight as you can. Inhale as you arch your spine, bring your sternum forward, and lift your chin slightly.', 'Section divider']",https://www.yogajournal.com/poses/cow-pose/,Bitilasana,"['Chest-Opening Yoga Poses', 'Yoga Backbends']","['Kidneys', 'Belly', 'Back', 'Neck', 'Back', 'Spine', 'Shoulders', 'Pelvis', 'Heart', 'Lungs', 'Hips', 'Back']",,[]
chair pose,"['Utkatasana (Chair Pose) is sometimes translated from Sanskrit to English as “Fierce Seat” or “Powerful Pose.” It is a strengthening and heat-building asana that brings all parts of your body together into a cohesive and powerful whole.', 'This asana is a meditation on determination and perseverance, as well as commitment. To successfully perform Chair Pose, you must seamlessly unite the strength of the legs, arms, and torso as you lift your core muscles and lengthen your spine.', 'Utkatasana can look simple—like a yogi sitting in an imaginary chair. “When you do the pose, however, it is definitely not a cushy, passive ride,” says', ', the founder of Prana Vinyasa Yoga. “A deep squat, Utkatasana immediately engages the strength of your legs, back, and ankles. Here, power is not about domination or control over someone else so much as it is about aligning with the life energy within and around you. At the core level, Utkatasana teaches you how to find your seat of power within your pelvis, at the center of your body.”', 'Chair Pose demands strength and stamina in the body, but also focus in the breath and mind. When you are centered and aligned in the posture, you’ll feel like you’re accessing a great well of energy. Utkatasana offers a powerful lesson and a key concept in yoga: Steady practice over time is better than occasional, intense spurts. Consistency in yoga, and in Utkatasana, yields deep and lasting results.', 'Utkatasana (', ')', '= powerful, fierce']",['Lower body'],"['The secret to a stable Utkatasana is releasing the heads of your thigh bones toward your heels. In the pose, bring your hands to the tops of your thighs. Nestle the base of your palms into your hip creases and push your thighs toward your heels, pressing your heels into the floor. Against these actions, lift your sitting bones up into the pelvis. Practice here until you can hold the pose without compromising the bend in your knees and hips. Then progress to lifting the arms overhead.']",['Tadasana (Mountain Pose)'],"['Uttanasana (Standing Forward Bend)', 'Setu Bandha Sarvangasana (Bridge Pose)', 'Bhujangasana (Cobra Pose)', 'Adho Mukha Svanasana (Downward-Facing Dog)']","['Stand in', 'Tadasana', '. Inhale and raise your arms overhead so that your biceps are just slightly in front of your ears. Either keep the arms parallel, palms facing inward, or join the palms.', 'Exhale and bend your knees so that your thighs are as parallel to the floor as possible. Your knees will project out over your feet, and your trunk will lean slightly forward over your thighs until your front torso forms approximately a right angle with the tops of your thighs.', 'Keep your inner thighs parallel to each other and press the heads of the thigh bones down toward your heels.', 'Firm your shoulder blades against your back. Direct your tailbone down toward the floor and in toward your pubis to keep your lower back long.', 'Stay for 30 seconds to a minute. To come out of this pose, straighten your knees with an inhalation, lifting strongly through your arms. Exhale and release your arms to your sides into Tadasana.']","['Photo: Andrew Clark', 'Chair Pose with a block', 'Hold a block between your thighs to further activate your inner thigh muscles (adductors).', 'Photo: Andrew Clark; Clothing: Calia', 'Chair Pose against a wall', 'Stand with your back against the wall, then slowly walk your feet forward, lowering down into the pose. Keep your feet at hip-distance apart. Make sure your knees are directly over your ankles, not in front of them. Stay for several breaths to several minutes.', 'Photo: Andrew Clark; Clothing: Calia', 'Chair Pose against a wall, arms raised', 'Try the variation above, then slowly lift your arms up into a big V shape. If you feel stable, lean forward, keeping your hips against the wall. Stay for several breaths to several minutes, then bring your back to the wall again and slowly walk your feet back toward the wall to come up and out of the pose.', 'Section divider']",https://www.yogajournal.com/poses/chair-pose-2/,Utkatasana,"['Core Yoga Poses', 'Standing Yoga Poses', 'Strengthening Yoga Poses']","['Belly', 'Back', 'Thighs', 'Spine', 'Heart', 'Legs', 'Ankles', 'Back']",,['stand']
bow pose,"['Bend back into the shape of a bow to feel energetically locked, loaded, and ready to take aim.']",['Core'],"['Avoid or modify this pose if you have high or low blood pressure, suffer from migraines or a hernia, or have any issues with your low back\xa0or neck.']","['Before attempting this intense pose, bring your body into progressively challenging backbends as well as poses that stretch the front of your hips and legs.']","['Balasana (Child’s Pose)', 'Pavanamuktasana (Wind-Relieving Pose, in which you lie on your back with your knees drawn into your chest)']","['Begin on your belly with your legs hip-distance apart and your palms on the mat beside your lower ribs.', 'Extend your feet straight back and press down with the tops of all 10 toenails to activate your quadriceps.', 'Rotate your inner thighs toward the ceiling (to broaden your lower back) and firm your outer ankles into your midline (to prevent your feet from turning inward).', 'Keep your hands on the mat as you lift your head and chest a few inches off the mat and keep a slight tuck of your chin. Roll your shoulders back and up.', 'Bend your knees and reach back with your hands to clasp the outside of your ankles. (Be certain to reach back with both hands at the same time.) This hand position puts your shoulders in internal rotation, so roll your shoulders back and up again.', 'Press your thighs into the mat.', 'Keep your feet flexed and your outer ankles from bowing out. Press the bottoms of your feet up toward the ceiling to energize your legs.', 'Keep your thighs on the mat as you push your shins toward the wall in back of you as you lift and open your chest. Roll your shoulders back again to reinforce the external rotation.', 'Lift your thighs off the mat. Begin with your inner thighs.', 'Relax your glutes.', 'Continue to press your shins back and away from your hands as you reach your sternum forward and up, balancing on your navel.', 'Lift your gaze slightly so the curve of your neck is a continuation of the curve of your upper back.', 'Hold for 5–10 breaths. To ease out of the pose, bend your knees and lower your legs to the floor. Then release your grip.']","['Photo: Andrew Clark; Clothing: Calia', 'Bow Pose with a strap', 'If it is challenging to reach your ankles, place a strap around your ankles to extend your reach. You can clasp the strap behind your back, with your arms extended straight behind you as if you were reaching for your ankles, or you can reach above and hold the strap from overhead.(If you don’t have a strap, you can instead use a belt, towel, or sweatshirt.)', 'Photo: Andrew Clark', 'Half Bow Pose', 'Lift one leg at a time and use one hand to reach back and grab either the same or opposite leg, depending on which is more comfortable for you. Use the other arm to prop yourself up on your forearm into a slight backbend. You can loop a strap around your foot to extend your reach. (If you don’t have a strap, you can instead use a belt, towel, or sweatshirt.)', 'Section divider']",https://www.yogajournal.com/poses/bow-pose/,Dhanurasana,"['Chest-Opening Yoga Poses', 'Yoga Backbends']","['Belly', 'Neck', 'Thighs', 'Spine', 'Shoulders', 'Heart', 'Flexors']",,[]
bound angle pose,"['Baddha Konasana (Bound Angle Pose) is a go-to pose for opening the hips and stretching the inner thigh muscles. This seemingly simple pose also strengthens your core and improves your posture.', 'Also known as Cobbler’s Pose, this asana activates the muscles in your back as you lengthen and stretch through your spine. A strong and stable core is also key to this posture: “When you sit on the floor in Baddha Konasana, your core works to keep you from rounding the back and dropping the chest,” says yoga teacher Annie Carpenter, creator of', '.', 'While Bound Angle Pose may seem simple, if you stay in it for an extended period of time, your back muscles will likely tire, making it difficult to keep your chest upright, says Carpenter. Your hip, thigh, and hamstring muscles may also feel fatigued. If that happens, ease out of the pose. “Exploring your edges should not create pain,” she says. “It should help you move toward an amount of stretch or muscular effort that’s sustainable for you.”', 'Baddha Konasana\xa0(', ')', '= bound', '= angle']",['Hips'],['Remember that everyone has natural limits. Your bone structure and muscular development may prevent your knees from ever opening all the way to the floor. That’s OK; Baddha Konasana will still help you to stretch your inner thighs and build strength in your back.'],"['Baddha Konasana is an intense hip stretch for many students, but there’s no need to force it. Ease your way into it by first practicing other poses that target your hip flexors. It helps to come into increasingly challenging hip stretches.']","['Dandasana (Staff Pose)', 'Purvottanasana (Reverse Plank | Upward Plank Pose)', 'Setu Bandha Sarvangasana (Bridge Pose)']","['Begin in', 'Staff Pose', '. Sit directly on top of your sitting bones, rather than behind them.', 'Bend your knees and allow them to fall open to the sides.', 'Draw the soles of your feet together and use your hands to open them as if you were opening the pages of a book.', 'Press your shoulder blades against your upper back to lift through your sternum or chest. Clasp your ankles to help you find lift along your torso.', 'To exit the pose, gently release your feet and come back to Staff Pose.']","['Photo: Andrew Clark; Clothing: Calia', 'Bound Angle Pose with a slight lean forward', 'Lean forward whatever amount you can—even a few millimeters—by flexing at your hips while keeping a long spine. This may intensify the sensations in your inner thighs. To help prevent slouching, you can sit on the edge of a folded blanket or bolster, which will tilt your pelvis forward so that you can come into the pose with a flat back.', 'Photo: Andrew Clark; Clothing: Calia', 'Bound Angle Pose with props', 'If your knees remain far from the ground, place blocks under your knees for support or slide blankets that you’ve folded or rolled under your shins and thighs.', 'Photo: Andrew Clark; Clothing: Calia', 'Bound Angle Pose in a chair', 'Sit in a chair and draw the bottoms of your feet together, allowing your knees to fall out to the sides.', 'Section divider']",https://www.yogajournal.com/poses/bound-angle-pose-2/,Baddha Konasana,"['Forward Bend Yoga Poses', 'Hip-Opening Yoga Poses', 'Seated Yoga Poses']","['Hamstrings', 'Belly', 'Kidneys', 'Thighs', 'Heart', 'Knees', 'Legs', 'Hips']",,['sit']
bridge pose,"['Setu Bandha Sarvangasana can be whatever you need—energizing, rejuvenating, or luxuriously restorative.']",['Core'],['Other Bridge Pose perks:'],['Bhujangasana (Cobra Pose)'],"['Bhujangasana (Cobra Pose)', 'Salamba Sarvangasana (Supported Shoulderstand)', 'Urdhva Mukha Svanasana (Upward-Facing Dog Pose)', 'Urdhva Dhanurasana (Upward Bow Pose)']","['Lie on your back in the center of your mat with your knees bent, your legs and feet parallel and hip-distance apart.', 'Move your feet closer to your buttocks. Press down firmly through both of your feet and inhale to raise your hips, lifting from the pubic bone rather than the navel.', 'Clasp your hands under your back on the floor. Broaden your collarbones and get on top of your shoulders. Firm the outer shins and roll your upper thighs inward. Press down firmly through your heels and lift the back of your thighs and the bottom of your buttocks even higher while keeping the thighs parallel.', 'To finish, exhale, release your hands, and lower to the floor. Allow your back to rest in a neutral state as you observe the spaciousness within your chest.']","['Photo: Andrew Clark', 'Bridge Pose with a block', 'Place and hold a block between your thighs to focus on inner thigh strength and keep the knees from splaying out.', 'Photo: Andrew Clark; Clothing: Calia', 'Supported Bridge Pose', 'For a more relaxed version, set a block at any height under your sacrum, the flat part of your low back. You may want to use a blanket on the block for extra padding. If it’s more comfortable, turn your palms up. Stay here as long as comfortable, then lift the hips to remove the block and slowly lower down.', 'Photo: Andrew Clark; Clothing: Calia', 'Supported Bridge Pose with a strap', 'Bring a looped strap around your thighs so your knees are about hip-distance apart. For an active version of the pose that focuses on strengthening your outer thighs, firmly spread your knees against the resistance of the strap. For a more relaxed version, put a block at any height below your sacrum (the flat part of your low back), and rest in the pose for as long as comfortable. Remove the block, then slowly lower down.', 'Section divider']",https://www.yogajournal.com/poses/bridge-pose/,Setu Bandha Sarvangasana,['Yoga Backbends'],"['Belly', 'Kidneys', 'Back', 'Neck', 'Back', 'Spine', 'Pelvis', 'Heart', 'Knees', 'Legs', 'Lungs', 'Flexors', 'Back', 'Abs']",,[]
cobra pose,"['By providing a conscious opening in the chest and stretch in the shoulders, Cobra Pose, called Bhujangasana in Sanskrit, fights fatigue and relieves lower back pain, boosting both the energetic and the physical body.']",['Core'],['Cobra Pose boosts energy and fights fatigue. It improves posture and counteracts the effects of prolonged sitting and computer work.'],"['Salabhasana (Locust Pose)', 'Sphinx Pose']","['If you feel any discomfort or compression in the lower back, don’t come up as high in the pose. Focus instead on creating strength in the upper back, between the shoulder blades.']","['Begin on your belly with your feet hip-distance apart and your hands beside your ribs.', 'Extend your big toes straight back and press down with all ten toenails to activate your quadriceps.', 'Rotate your inner thighs toward the ceiling to broaden the lower back.', 'Pressing down lightly with your hands, start to lift your head and chest, rolling your shoulders back and down.', 'Keep the back of your neck long and focus on lifting your sternum instead of lifting your chin.', 'Straighten your arms while keeping your shoulders remaining away from your ears.\xa0Keep at least a slight bend in your elbows.', 'To exit the pose, release back to your mat.']","['Photo: Andrew Clark; Clothing: Calia', 'Cobra with support under your hips', 'Place a small bolster, pillow, or folded blankets under your hips to add a little height and to take pressure out of the lower back. If you feel any pinching or pain in your lower back, widen the distance between your feet, which creates more space in your hips and pelvis and engages the glutes.', 'Photo: Andrew Clark; Clothing: Calia', 'Cobra against a wall', 'Stand facing a wall with your feet a foot or so away from the wall. Bend your elbows, keeping them pressed firmly against your torso and press your hands into the wall. Lift your chin slightly, and arch your back into a backbend.', 'Photo: Andrew Clark; Clothing: Calia', 'Cobra in a chair', 'Sit in a chair with your hands on your lap. Come into a gentle backbend by pressing your chest forward and lifting your chin slightly. Bring your gaze slightly up and ahead.', 'Section divider']",https://www.yogajournal.com/poses/cobra-pose-2/,Bhujangasana,"['Chest-Opening Yoga Poses', 'Yoga Backbends']","['Hands', 'Glutes', 'Kidneys', 'Belly', 'Back', 'Spine', 'Shoulders', 'Heart', 'Lungs', 'Back']",,[]
camel pose,"['Camel Pose (Ustrasana) is an energizing and beneficial backbend—a welcome, heart-opening addition to your sequence that counteracts slouching and relieves lower back pain.', 'It’s worth taking the time to do it well. The main thing to avoid with Ustrasana is flopping into the pose and taking the brunt of the backbend in your neck or lower back. Instead, lift and lengthen your torso before you gently arch into the pose. Keep some length and space along the back of the neck and the low back.', 'It’s also important to tune in to your breath as you approach this backbend, says Yoga Journal contributor Laura Christensen. Breath is a way to harness and direct our prana (life force).', '“It’s difficult to feel confident and trust yourself if you don’t feel powerful inside or if you are cut off from the very energy that enlivens you,” Christensen explains. “Each of us contains an incredible wellspring of power, but it’s not always activated, and we don’t always feel it.” Ustrasana opens the front of the body to invite breath into the lungs.', 'Other teachers agree that breath is key to a safe expression of this pose—physically, as well as energetically. “Use your breath to cultivate a clear, calm mind, which can help you focus on and detect subtle sensations, such as strain,” says', 'contributor Kino MacGregor, an Ashtanga yoga teacher.\xa0 This can keep you from forcing your body into an aesthetic shape for which you may not be ready. This approach can lead to injury.', 'Leigh Ferrara, a California-based yoga teacher and', 'contributor, agrees that Camel requires you to move carefully as you work with the limitations of your body and mind.\xa0“Backbending is a journey into the nervous system and all of the emotions our nerves and sense organs can trigger—from fear to elation,” says Ferrara. For some people, arching the back can trigger fear of falling. To counter that sensation physically, press forward with your hips to counter the backward motion. But also breathe and focus your mind on trusting your body to hold you up.', 'As you stretch your spine, it’s pivotal to note the difference between muscular and emotional intensity—and to be sure you’re challenging your body in a way that feels safe and empowering.', 'Ustrasana (', ')', '= camel']",['Core'],['Additional Camel Pose perks:'],['Bhujangasana (Cobra Pose)'],"['Paschimottanasana (Seated Forward Bend)', 'Ananda Balasana (Happy Baby Pose)', 'Balasana (Child’s Pose)', 'Supta Padangusthasana (Reclining Hand-to-Big-Toe Pose)']","['Come to your knees, with your legs hip-width apart. Keep your hips over your knees and squeeze your thighs toward each other.', 'Inhale, engage your lower belly, and reach your tailbone toward your knees, creating space between your lower vertebrae.', 'On another inhalation, lift your sternum and draw your elbows back, toward each other behind you.\xa0 Allow your rib cage to expand.', 'Keep your chest raised, your core engaged, your spine long, your chin tucked and your shoulders back as you drop your hands toward your heels.', 'Press the heels of your hands into the heels of your feet, draping the fingers over the soles. Keep lifting through your sternum. (If you don’t have the spinal flexibility for full Ustrasana, avoid reaching for your feet; instead, use blocks placed on the outside of each ankle or keep your hands on your hips with your thumbs on your sacrum.)', 'Now lift your shoulders to allow the trapezius muscles between the shoulder blades to rise up and cushion your cervical spine. Gently allow the head and neck to extend backward.\xa0 Gaze at the tip of your nose.', 'Stay in this pose for 30 to 60 seconds. To exit, bring your chin to your chest and your hands to your hips with your thumbs on your sacrum. Engage your lower belly and use your hands to support your lower back as you come slowly back up to your knees.']","['Photo: Andrew Clark; Clothing: Calia', 'Camel Pose with hands on sacrum', 'If you feel tightness or compression in your low back, place the heels of your hands at the tops of your buttocks with your fingers facing downward and your elbows pointing back. Engage your inner thighs and pelvic floor by pulling your lower belly in and up. Focus on creating space between your vertebrae, opening your chest and shoulders. Lengthen with each inhalation and on each exhalation keep the space that you’ve created while engaging the core more. Tuck your chin slightly toward your chest.\xa0You may wish to place a blanket under your knees for extra cushioning.', 'Photo: Andrew Clark; Clothing: Calia', 'Camel Pose in a chair', 'Drape a blanket over the back of a chair. Sit with your feet hip-distance apart and reach your arms back and loosely grasp the back legs of the chair. Lift your sternum as you slowly slide your hands down the back of the chair and lean your upper shoulder blades against the back of the chair to create an arch in your back. Tuck your chin slightly toward your chest.', 'Photo: Andrew Clark; Clothing: Calia', 'Camel Pose with blocks', 'Place blocks at any height (or stacked) next to your ankles as support for your hands.', 'Section divider']",https://www.yogajournal.com/poses/camel-pose/,Ustrasana,"['Chest-Opening Yoga Poses', 'Yoga Backbends']","['Belly', 'Neck', 'Thighs', 'Spine', 'Shoulders', 'Flexors', 'Ankles']",,[]
