source,relation,destination
sitting,BURNS,101-200
sitting,BURNS,101-1200
sitting,BURNS,101-300
sitting,BURNS,101-150
sitting,BURNS,101-900
sitting,BURNS,101-500
desk work,BURNS,101-200
desk work,BURNS,101-1200
desk work,BURNS,101-300
desk work,BURNS,101-150
desk work,BURNS,101-900
desk work,BURNS,101-500
driving,BURNS,101-200
driving,BURNS,101-1200
driving,BURNS,101-300
driving,BURNS,101-150
driving,BURNS,101-900
driving,BURNS,101-500
bathing,BURNS,101-200
bathing,BURNS,101-1200
bathing,BURNS,101-300
bathing,BURNS,101-150
bathing,BURNS,101-900
bathing,BURNS,101-500
spa,BURNS,101-200
spa,BURNS,101-1200
spa,BURNS,101-300
spa,BURNS,101-150
spa,BURNS,101-900
spa,BURNS,101-500
singing,BURNS,101-200
singing,BURNS,101-1200
singing,BURNS,101-300
singing,BURNS,101-150
singing,BURNS,101-900
singing,BURNS,101-500
showering,BURNS,101-200
showering,BURNS,101-1200
showering,BURNS,101-300
showering,BURNS,101-150
showering,BURNS,101-900
showering,BURNS,101-500
sexual activity,BURNS,101-200
sexual activity,BURNS,101-1200
sexual activity,BURNS,101-300
sexual activity,BURNS,101-150
sexual activity,BURNS,101-900
sexual activity,BURNS,101-500
sewing,BURNS,101-200
sewing,BURNS,101-1200
sewing,BURNS,101-300
sewing,BURNS,101-150
sewing,BURNS,101-900
sewing,BURNS,101-500
working,BURNS,101-200
working,BURNS,101-1200
working,BURNS,101-300
working,BURNS,101-150
working,BURNS,101-900
working,BURNS,101-500
studying,BURNS,101-200
studying,BURNS,101-1200
studying,BURNS,101-300
studying,BURNS,101-150
studying,BURNS,101-900
studying,BURNS,101-500
reading,BURNS,101-200
reading,BURNS,101-1200
reading,BURNS,101-300
reading,BURNS,101-150
reading,BURNS,101-900
reading,BURNS,101-500
music playing,BURNS,101-200
music playing,BURNS,101-1200
music playing,BURNS,101-300
music playing,BURNS,101-150
music playing,BURNS,101-900
music playing,BURNS,101-500
teaching,BURNS,101-200
teaching,BURNS,101-1200
teaching,BURNS,101-300
teaching,BURNS,101-150
teaching,BURNS,101-900
teaching,BURNS,101-500
massage,BURNS,101-200
massage,BURNS,101-1200
massage,BURNS,101-300
massage,BURNS,101-150
massage,BURNS,101-900
massage,BURNS,101-500
karaoke,BURNS,101-200
karaoke,BURNS,101-1200
karaoke,BURNS,101-300
karaoke,BURNS,101-150
karaoke,BURNS,101-900
karaoke,BURNS,101-500
walking (slow) - 2/mph,BURNS,101-200
walking (slow) - 2/mph,BURNS,101-1200
walking (slow) - 2/mph,BURNS,101-300
walking (slow) - 2/mph,BURNS,101-150
walking (slow) - 2/mph,BURNS,101-900
walking (slow) - 2/mph,BURNS,101-500
watching tv/computer,BURNS,101-200
watching tv/computer,BURNS,101-1200
watching tv/computer,BURNS,101-300
watching tv/computer,BURNS,101-150
watching tv/computer,BURNS,101-900
watching tv/computer,BURNS,101-500
golf (cart),BURNS,101-200
golf (cart),BURNS,101-1200
golf (cart),BURNS,101-300
golf (cart),BURNS,101-150
golf (cart),BURNS,101-900
golf (cart),BURNS,101-500
cooking,BURNS,101-200
cooking,BURNS,101-1200
cooking,BURNS,101-300
cooking,BURNS,101-150
cooking,BURNS,101-900
cooking,BURNS,101-500
breastfeeding,BURNS,101-200
breastfeeding,BURNS,101-1200
breastfeeding,BURNS,101-300
breastfeeding,BURNS,101-150
breastfeeding,BURNS,101-900
breastfeeding,BURNS,101-500
standing,BURNS,101-200
standing,BURNS,101-1200
standing,BURNS,101-300
standing,BURNS,101-150
standing,BURNS,101-900
standing,BURNS,101-500
shopping,BURNS,101-200
shopping,BURNS,101-1200
shopping,BURNS,101-300
shopping,BURNS,151-200
shopping,BURNS,101-900
shopping,BURNS,101-500
housework,BURNS,101-200
housework,BURNS,101-1200
housework,BURNS,101-300
housework,BURNS,151-200
housework,BURNS,101-900
housework,BURNS,101-500
stretching (yoga),BURNS,101-200
stretching (yoga),BURNS,101-1200
stretching (yoga),BURNS,101-300
stretching (yoga),BURNS,151-200
stretching (yoga),BURNS,101-900
stretching (yoga),BURNS,101-500
washing dishes,BURNS,201-300
washing dishes,BURNS,101-1200
washing dishes,BURNS,101-300
washing dishes,BURNS,201-250
washing dishes,BURNS,101-900
washing dishes,BURNS,101-500
scooter,BURNS,201-300
scooter,BURNS,101-1200
scooter,BURNS,101-300
scooter,BURNS,201-250
scooter,BURNS,101-900
scooter,BURNS,101-500
motorbike riding,BURNS,201-300
motorbike riding,BURNS,101-1200
motorbike riding,BURNS,101-300
motorbike riding,BURNS,201-250
motorbike riding,BURNS,101-900
motorbike riding,BURNS,101-500
ironing,BURNS,201-300
ironing,BURNS,101-1200
ironing,BURNS,101-300
ironing,BURNS,201-250
ironing,BURNS,101-900
ironing,BURNS,101-500
hanging laundry,BURNS,201-300
hanging laundry,BURNS,101-1200
hanging laundry,BURNS,101-300
hanging laundry,BURNS,201-250
hanging laundry,BURNS,101-900
hanging laundry,BURNS,101-500
grocery shopping,BURNS,201-300
grocery shopping,BURNS,101-1200
grocery shopping,BURNS,101-300
grocery shopping,BURNS,201-250
grocery shopping,BURNS,101-900
grocery shopping,BURNS,101-500
sauna,BURNS,201-300
sauna,BURNS,101-1200
sauna,BURNS,101-300
sauna,BURNS,201-250
sauna,BURNS,101-900
sauna,BURNS,101-500
yoga,BURNS,201-300
yoga,BURNS,101-1200
yoga,BURNS,101-300
yoga,BURNS,201-250
yoga,BURNS,101-900
yoga,BURNS,101-500
cleaning,BURNS,201-300
cleaning,BURNS,101-1200
cleaning,BURNS,101-300
cleaning,BURNS,201-250
cleaning,BURNS,101-900
cleaning,BURNS,101-500
wii fit (electronic games),BURNS,201-300
wii fit (electronic games),BURNS,101-1200
wii fit (electronic games),BURNS,101-300
wii fit (electronic games),BURNS,201-250
wii fit (electronic games),BURNS,101-900
wii fit (electronic games),BURNS,101-500
washing car,BURNS,201-300
washing car,BURNS,101-1200
washing car,BURNS,101-300
washing car,BURNS,201-250
washing car,BURNS,101-900
washing car,BURNS,101-500
boating or canoeing,BURNS,201-300
boating or canoeing,BURNS,101-1200
boating or canoeing,BURNS,101-300
boating or canoeing,BURNS,201-250
boating or canoeing,BURNS,101-900
boating or canoeing,BURNS,101-500
fishing,BURNS,201-300
fishing,BURNS,101-1200
fishing,BURNS,101-300
fishing,BURNS,201-250
fishing,BURNS,101-900
fishing,BURNS,101-500
vacuuming,BURNS,201-300
vacuuming,BURNS,101-1200
vacuuming,BURNS,101-300
vacuuming,BURNS,201-250
vacuuming,BURNS,101-900
vacuuming,BURNS,101-500
do it yourself (diy),BURNS,201-300
do it yourself (diy),BURNS,101-1200
do it yourself (diy),BURNS,101-300
do it yourself (diy),BURNS,201-250
do it yourself (diy),BURNS,101-900
do it yourself (diy),BURNS,101-500
surfing,BURNS,201-300
surfing,BURNS,101-1200
surfing,BURNS,101-300
surfing,BURNS,201-250
surfing,BURNS,101-900
surfing,BURNS,101-500
sailing,BURNS,201-300
sailing,BURNS,101-1200
sailing,BURNS,101-300
sailing,BURNS,201-250
sailing,BURNS,101-900
sailing,BURNS,101-500
pilates,BURNS,201-300
