name,url,intensity,calories,met
sleeping,https://www.fatsecret.com/fitness/sleeping,Light Intensity,66.0,0.9
resting,https://www.fatsecret.com/fitness/resting,Light Intensity,74.0,1.0
sitting,https://www.fatsecret.com/fitness/sitting,Light Intensity,103.0,1.4
desk work,https://www.fatsecret.com/fitness/desk-work,Light Intensity,110.0,1.5
driving,https://www.fatsecret.com/fitness/driving,Light Intensity,118.0,1.6
bathing,https://www.fatsecret.com/fitness/bathing,Light Intensity,147.0,2.0
spa,https://www.fatsecret.com/fitness/spa,Light Intensity,147.0,2.0
singing,https://www.fatsecret.com/fitness/singing,Light Intensity,147.0,2.0
showering,https://www.fatsecret.com/fitness/showering,Light Intensity,147.0,2.0
sexual activity,https://www.fatsecret.com/fitness/sexual-activity,Light Intensity,147.0,2.0
sewing,https://www.fatsecret.com/fitness/sewing,Light Intensity,147.0,2.0
working,https://www.fatsecret.com/fitness/working,Light Intensity,147.0,2.0
studying,https://www.fatsecret.com/fitness/studying,Light Intensity,147.0,2.0
reading,https://www.fatsecret.com/fitness/reading,Light Intensity,147.0,2.0
music playing,https://www.fatsecret.com/fitness/music-playing,Light Intensity,147.0,2.0
teaching,https://www.fatsecret.com/fitness/teaching,Light Intensity,147.0,2.0
massage,https://www.fatsecret.com/fitness/massage,Light Intensity,147.0,2.0
karaoke,https://www.fatsecret.com/fitness/karaoke,Light Intensity,147.0,2.0
walking (slow) - 2/mph,https://www.fatsecret.com/fitness/walking-(slow)-2-mph,Light Intensity,147.0,2.0
watching tv/computer,https://www.fatsecret.com/fitness/watching-tv-computer,Light Intensity,147.0,2.0
golf (cart),https://www.fatsecret.com/fitness/golf-(cart),Light Intensity,147.0,2.0
cooking,https://www.fatsecret.com/fitness/cooking,Light Intensity,147.0,2.0
breastfeeding,https://www.fatsecret.com/fitness/breastfeeding,Light Intensity,147.0,2.0
standing,https://www.fatsecret.com/fitness/standing,Light Intensity,147.0,2.0
shopping,https://www.fatsecret.com/fitness/shopping,Light Intensity,169.0,2.3
housework,https://www.fatsecret.com/fitness/housework,Light Intensity,184.0,2.5
stretching (yoga),https://www.fatsecret.com/fitness/stretching-(yoga),Light Intensity,184.0,2.5
washing dishes,https://www.fatsecret.com/fitness/washing-dishes,Light Intensity,220.0,3.0
scooter,https://www.fatsecret.com/fitness/scooter,Light Intensity,220.0,3.0
motorbike riding,https://www.fatsecret.com/fitness/motorbike-riding,Light Intensity,220.0,3.0
ironing,https://www.fatsecret.com/fitness/ironing,Light Intensity,220.0,3.0
hanging laundry,https://www.fatsecret.com/fitness/hanging-laundry,Light Intensity,220.0,3.0
grocery shopping,https://www.fatsecret.com/fitness/grocery-shopping,Light Intensity,220.0,3.0
sauna,https://www.fatsecret.com/fitness/sauna,Light Intensity,220.0,3.0
yoga,https://www.fatsecret.com/fitness/yoga,Light Intensity,220.0,3.0
cleaning,https://www.fatsecret.com/fitness/cleaning,Moderate Intensity,220.0,3.0
wii fit (electronic games),https://www.fatsecret.com/fitness/wii-fit-(electronic-games),Moderate Intensity,220.0,3.0
washing car,https://www.fatsecret.com/fitness/washing-car,Moderate Intensity,220.0,3.0
boating or canoeing,https://www.fatsecret.com/fitness/boating-or-canoeing,Moderate Intensity,220.0,3.0
fishing,https://www.fatsecret.com/fitness/fishing,Moderate Intensity,220.0,3.0
vacuuming,https://www.fatsecret.com/fitness/vacuuming,Moderate Intensity,220.0,3.0
do it yourself (diy),https://www.fatsecret.com/fitness/do-it-yourself-(diy),Moderate Intensity,220.0,3.0
surfing,https://www.fatsecret.com/fitness/surfing,Moderate Intensity,220.0,3.0
sailing,https://www.fatsecret.com/fitness/sailing,Moderate Intensity,220.0,3.0
pilates,https://www.fatsecret.com/fitness/pilates,Moderate Intensity,228.0,3.1
walking (moderate) - 3/mph,https://www.fatsecret.com/fitness/walking-(moderate)-3-mph,Moderate Intensity,243.0,3.3
"calisthenics (light, e.g. home exercise)",https://www.fatsecret.com/fitness/calisthenics-(light-eg-home-exercise),Moderate Intensity,257.0,3.5
walking (exercise) - 3.5/mph,https://www.fatsecret.com/fitness/walking-(exercise)-35-mph,Moderate Intensity,279.0,3.8
yard work (gardening),https://www.fatsecret.com/fitness/yard-work-(gardening),Moderate Intensity,294.0,4.0
raking,https://www.fatsecret.com/fitness/raking,Moderate Intensity,294.0,4.0
archery,https://www.fatsecret.com/fitness/archery,Moderate Intensity,294.0,4.0
table tennis (ping pong),https://www.fatsecret.com/fitness/table-tennis-(ping-pong),Moderate Intensity,294.0,4.0
motor-cross,https://www.fatsecret.com/fitness/motor-cross,Moderate Intensity,294.0,4.0
volleyball,https://www.fatsecret.com/fitness/volleyball,Moderate Intensity,294.0,4.0
water biking/running,https://www.fatsecret.com/fitness/water-biking-running,Moderate Intensity,294.0,4.0
swimming (slow),https://www.fatsecret.com/fitness/swimming-(slow),Moderate Intensity,294.0,4.0
horseback riding,https://www.fatsecret.com/fitness/horseback-riding,Moderate Intensity,294.0,4.0
yoga (hot),https://www.fatsecret.com/fitness/yoga-(hot),Moderate Intensity,294.0,4.0
bowling,https://www.fatsecret.com/fitness/bowling,Moderate Intensity,294.0,4.0
golf (walking),https://www.fatsecret.com/fitness/golf-(walking),Moderate Intensity,294.0,4.0
dance (slow step),https://www.fatsecret.com/fitness/dance-(slow-step),Moderate Intensity,294.0,4.0
bicycling (leisurely) - <10/mph,https://www.fatsecret.com/fitness/bicycling-(leisurely)-10-mph,Moderate Intensity,294.0,4.0
mowing lawn,https://www.fatsecret.com/fitness/mowing-lawn,Moderate Intensity,368.0,5.0
cricket,https://www.fatsecret.com/fitness/cricket,Moderate Intensity,368.0,5.0
softball,https://www.fatsecret.com/fitness/softball,Moderate Intensity,368.0,5.0
skating - 10/mph,https://www.fatsecret.com/fitness/skating-10-mph,Moderate Intensity,368.0,5.0
walking (brisk) - 4/mph,https://www.fatsecret.com/fitness/walking-(brisk)-4-mph,Moderate Intensity,368.0,5.0
shoveling,https://www.fatsecret.com/fitness/shoveling,Moderate Intensity,368.0,5.0
dance (square dancing),https://www.fatsecret.com/fitness/dance-(square-dancing),Moderate Intensity,368.0,5.0
baseball,https://www.fatsecret.com/fitness/baseball,Moderate Intensity,368.0,5.0
painting,https://www.fatsecret.com/fitness/painting,Moderate Intensity,368.0,5.0
badminton,https://www.fatsecret.com/fitness/badminton,Moderate Intensity,368.0,5.0
kayaking,https://www.fatsecret.com/fitness/kayaking,Moderate Intensity,368.0,5.0
hunting,https://www.fatsecret.com/fitness/hunting,Moderate Intensity,368.0,5.0
hula hoop,https://www.fatsecret.com/fitness/hula-hoop,Moderate Intensity,368.0,5.0
conditioning exercise (health club),https://www.fatsecret.com/fitness/conditioning-exercise-(health-club),Moderate Intensity,404.0,5.5
bicycling (slow) - 11/mph,https://www.fatsecret.com/fitness/bicycling-(slow)-11-mph,Moderate Intensity,441.0,6.0
weight training (moderate),https://www.fatsecret.com/fitness/weight-training-(moderate),Moderate Intensity,441.0,6.0
circuit training,https://www.fatsecret.com/fitness/circuit-training,Moderate Intensity,441.0,6.0
basketball,https://www.fatsecret.com/fitness/basketball,Moderate Intensity,441.0,6.0
tree climbing (ropes),https://www.fatsecret.com/fitness/tree-climbing-(ropes),Moderate Intensity,441.0,6.0
skiing (water),https://www.fatsecret.com/fitness/skiing-(water),Moderate Intensity,441.0,6.0
"dance (fast step, aerobic)",https://www.fatsecret.com/fitness/dance-(fast-step-aerobic),Moderate Intensity,441.0,6.0
hiking,https://www.fatsecret.com/fitness/hiking,Moderate Intensity,441.0,6.0
shoveling snow,https://www.fatsecret.com/fitness/shoveling-snow,Moderate Intensity,441.0,6.0
scuba diving,https://www.fatsecret.com/fitness/scuba-diving,Moderate Intensity,441.0,6.0
power walking,https://www.fatsecret.com/fitness/power-walking,Moderate Intensity,441.0,6.0
pole dancing,https://www.fatsecret.com/fitness/pole-dancing,Moderate Intensity,441.0,6.0
exercise machine (slow),https://www.fatsecret.com/fitness/exercise-machine-(slow),Moderate Intensity,441.0,6.0
netball,https://www.fatsecret.com/fitness/netball,Moderate Intensity,441.0,6.0
floorball,https://www.fatsecret.com/fitness/floorball,Moderate Intensity,441.0,6.0
trampolining,https://www.fatsecret.com/fitness/trampolining,Moderate Intensity,441.0,6.0
gym,https://www.fatsecret.com/fitness/gym,Moderate Intensity,441.0,6.0
zumba,https://www.fatsecret.com/fitness/zumba,Strenuous Intensity,514.0,7.0
t25,https://www.fatsecret.com/fitness/t25,Strenuous Intensity,514.0,7.0
swimming (moderate),https://www.fatsecret.com/fitness/swimming-(moderate),Strenuous Intensity,514.0,7.0
