source,relation,destination
0.1-16.0,LESS_THAN,16.1-17.0
0.1-8.0,LESS_THAN,8.1-16.0
8.1-16.0,LESS_THAN,16.1-17.0
0.1-4.0,LESS_THAN,4.1-8.0
4.1-8.0,LESS_THAN,8.1-12.0
8.1-12.0,LESS_THAN,12.1-16.0
12.1-16.0,LESS_THAN,16.1-17.0
0.1-2.0,LESS_THAN,2.1-4.0
2.1-4.0,LESS_THAN,4.1-6.0
4.1-6.0,LESS_THAN,6.1-8.0
6.1-8.0,LESS_THAN,8.1-10.0
8.1-10.0,LESS_THAN,10.1-12.0
10.1-12.0,LESS_THAN,12.1-14.0
12.1-14.0,LESS_THAN,14.1-16.0
14.1-16.0,LESS_THAN,16.1-17.0
0.1-1.0,LESS_THAN,1.1-2.0
1.1-2.0,LESS_THAN,2.1-3.0
2.1-3.0,LESS_THAN,3.1-4.0
3.1-4.0,LESS_THAN,4.1-5.0
4.1-5.0,LESS_THAN,5.1-6.0
5.1-6.0,LESS_THAN,6.1-7.0
6.1-7.0,LESS_THAN,7.1-8.0
7.1-8.0,LESS_THAN,8.1-9.0
8.1-9.0,LESS_THAN,9.1-10.0
9.1-10.0,LESS_THAN,10.1-11.0
10.1-11.0,LESS_THAN,11.1-12.0
11.1-12.0,LESS_THAN,12.1-13.0
12.1-13.0,LESS_THAN,13.1-14.0
13.1-14.0,LESS_THAN,14.1-15.0
14.1-15.0,LESS_THAN,15.1-16.0
15.1-16.0,LESS_THAN,16.1-17.0
101-900,LESS_THAN,901-1200
101-500,LESS_THAN,501-900
501-900,LESS_THAN,901-1200
101-300,LESS_THAN,301-500
301-500,LESS_THAN,501-700
501-700,LESS_THAN,701-900
701-900,LESS_THAN,901-1100
901-1100,LESS_THAN,1101-1200
101-200,LESS_THAN,201-300
201-300,LESS_THAN,301-400
301-400,LESS_THAN,401-500
401-500,LESS_THAN,501-600
501-600,LESS_THAN,601-700
601-700,LESS_THAN,701-800
701-800,LESS_THAN,801-900
801-900,LESS_THAN,901-1000
901-1000,LESS_THAN,1001-1100
1001-1100,LESS_THAN,1101-1200
101-150,LESS_THAN,151-200
151-200,LESS_THAN,201-250
201-250,LESS_THAN,251-300
251-300,LESS_THAN,301-350
301-350,LESS_THAN,351-400
351-400,LESS_THAN,401-450
401-450,LESS_THAN,451-500
451-500,LESS_THAN,501-550
501-550,LESS_THAN,551-600
551-600,LESS_THAN,601-650
601-650,LESS_THAN,651-700
651-700,LESS_THAN,701-750
701-750,LESS_THAN,751-800
751-800,LESS_THAN,801-850
801-850,LESS_THAN,851-900
851-900,LESS_THAN,901-950
901-950,LESS_THAN,951-1000
951-1000,LESS_THAN,1001-1050
1001-1050,LESS_THAN,1051-1100
1051-1100,LESS_THAN,1101-1150
1101-1150,LESS_THAN,1151-1200
