source,relation,destination
16.1-17.0,MORE_THAN,0.1-16.0
8.1-16.0,MORE_THAN,0.1-8.0
16.1-17.0,MORE_THAN,8.1-16.0
4.1-8.0,MORE_THAN,0.1-4.0
8.1-12.0,MORE_THAN,4.1-8.0
12.1-16.0,MORE_THAN,8.1-12.0
16.1-17.0,MORE_THAN,12.1-16.0
2.1-4.0,MORE_THAN,0.1-2.0
4.1-6.0,MORE_THAN,2.1-4.0
6.1-8.0,MORE_THAN,4.1-6.0
8.1-10.0,MORE_THAN,6.1-8.0
10.1-12.0,MORE_THAN,8.1-10.0
12.1-14.0,MORE_THAN,10.1-12.0
14.1-16.0,MORE_THAN,12.1-14.0
16.1-17.0,MORE_THAN,14.1-16.0
1.1-2.0,MORE_THAN,0.1-1.0
2.1-3.0,MORE_THAN,1.1-2.0
3.1-4.0,MORE_THAN,2.1-3.0
4.1-5.0,MORE_THAN,3.1-4.0
5.1-6.0,MORE_THAN,4.1-5.0
6.1-7.0,MORE_THAN,5.1-6.0
7.1-8.0,MORE_THAN,6.1-7.0
8.1-9.0,MORE_THAN,7.1-8.0
9.1-10.0,MORE_THAN,8.1-9.0
10.1-11.0,MORE_THAN,9.1-10.0
11.1-12.0,MORE_THAN,10.1-11.0
12.1-13.0,MORE_THAN,11.1-12.0
13.1-14.0,MORE_THAN,12.1-13.0
14.1-15.0,MORE_THAN,13.1-14.0
15.1-16.0,MORE_THAN,14.1-15.0
16.1-17.0,MORE_THAN,15.1-16.0
901-1200,MORE_THAN,101-900
501-900,MORE_THAN,101-500
901-1200,MORE_THAN,501-900
301-500,MORE_THAN,101-300
501-700,MORE_THAN,301-500
701-900,MORE_THAN,501-700
901-1100,MORE_THAN,701-900
1101-1200,MORE_THAN,901-1100
201-300,MORE_THAN,101-200
301-400,MORE_THAN,201-300
401-500,MORE_THAN,301-400
501-600,MORE_THAN,401-500
601-700,MORE_THAN,501-600
701-800,MORE_THAN,601-700
801-900,MORE_THAN,701-800
901-1000,MORE_THAN,801-900
1001-1100,MORE_THAN,901-1000
1101-1200,MORE_THAN,1001-1100
151-200,MORE_THAN,101-150
201-250,MORE_THAN,151-200
251-300,MORE_THAN,201-250
301-350,MORE_THAN,251-300
351-400,MORE_THAN,301-350
401-450,MORE_THAN,351-400
451-500,MORE_THAN,401-450
501-550,MORE_THAN,451-500
551-600,MORE_THAN,501-550
601-650,MORE_THAN,551-600
651-700,MORE_THAN,601-650
701-750,MORE_THAN,651-700
751-800,MORE_THAN,701-750
801-850,MORE_THAN,751-800
851-900,MORE_THAN,801-850
901-950,MORE_THAN,851-900
951-1000,MORE_THAN,901-950
1001-1050,MORE_THAN,951-1000
1051-1100,MORE_THAN,1001-1050
1101-1150,MORE_THAN,1051-1100
1151-1200,MORE_THAN,1101-1150
