name,start,end
10.1-11.0,10.1,11.0
12.1-14.0,12.1,14.0
2.1-3.0,2.1,3.0
6.1-7.0,6.1,7.0
3.1-4.0,3.1,4.0
15.1-16.0,15.1,16.0
8.1-10.0,8.1,10.0
8.1-16.0,8.1,16.0
11.1-12.0,11.1,12.0
4.1-6.0,4.1,6.0
16.1-17.0,16.1,17.0
12.1-13.0,12.1,13.0
12.1-16.0,12.1,16.0
7.1-8.0,7.1,8.0
8.1-9.0,8.1,9.0
0.1-2.0,0.1,2.0
0.1-8.0,0.1,8.0
8.1-12.0,8.1,12.0
0.1-17.0,0.1,17.0
4.1-5.0,4.1,5.0
13.1-14.0,13.1,14.0
4.1-8.0,4.1,8.0
14.1-16.0,14.1,16.0
10.1-12.0,10.1,12.0
9.1-10.0,9.1,10.0
2.1-4.0,2.1,4.0
1.1-2.0,1.1,2.0
6.1-8.0,6.1,8.0
0.1-1.0,0.1,1.0
0.1-4.0,0.1,4.0
0.1-16.0,0.1,16.0
5.1-6.0,5.1,6.0
14.1-15.0,14.1,15.0
901-1200,901,1200
701-800,701,800
501-900,501,900
401-450,401,450
451-500,451,500
851-900,851,900
301-500,301,500
801-850,801,850
201-300,201,300
351-400,351,400
1101-1200,1101,1200
101-200,101,200
701-900,701,900
301-350,301,350
601-700,601,700
751-800,751,800
501-600,501,600
1001-1100,1001,1100
1151-1200,1151,1200
701-750,701,750
251-300,251,300
101-1200,101,1200
101-300,101,300
151-200,151,200
651-700,651,700
901-1000,901,1000
201-250,201,250
1101-1150,1101,1150
101-150,101,150
501-700,501,700
401-500,401,500
1051-1100,1051,1100
601-650,601,650
901-1100,901,1100
801-900,801,900
951-1000,951,1000
501-550,501,550
1001-1050,1001,1050
551-600,551,600
101-900,101,900
301-400,301,400
901-950,901,950
101-500,101,500
