source,relation,destination
sleeping,SPENDS,0-2.5
sleeping,SPENDS,0-5.0
sleeping,SPENDS,0-1.5
sleeping,SPENDS,0-1200
sleeping,SPENDS,0-110
resting,SPENDS,0-2.5
resting,SPENDS,0-5.0
resting,SPENDS,0-1.5
resting,SPENDS,0-1200
resting,SPENDS,0-110
sitting,SPENDS,0-2.5
sitting,SPENDS,0-5.0
sitting,SPENDS,0-1.5
sitting,SPENDS,0-1200
sitting,SPENDS,0-110
desk work,SPENDS,0-2.5
desk work,SPENDS,0-5.0
desk work,SPENDS,0-1.5
desk work,SPENDS,0-1200
desk work,SPENDS,0-110
driving,SPENDS,0-2.5
driving,SPENDS,0-5.0
driving,SPENDS,1.6-2.5
driving,SPENDS,0-1200
driving,SPENDS,0-110
bathing,SPENDS,0-2.5
bathing,SPENDS,0-5.0
bathing,SPENDS,1.6-2.5
bathing,SPENDS,0-1200
bathing,SPENDS,0-110
spa,SPENDS,0-2.5
spa,SPENDS,0-5.0
spa,SPENDS,1.6-2.5
spa,SPENDS,0-1200
spa,SPENDS,0-110
singing,SPENDS,0-2.5
singing,SPENDS,0-5.0
singing,SPENDS,1.6-2.5
singing,SPENDS,0-1200
singing,SPENDS,0-110
showering,SPENDS,0-2.5
showering,SPENDS,0-5.0
showering,SPENDS,1.6-2.5
showering,SPENDS,0-1200
showering,SPENDS,0-110
sexual activity,SPENDS,0-2.5
sexual activity,SPENDS,0-5.0
sexual activity,SPENDS,1.6-2.5
sexual activity,SPENDS,0-1200
sexual activity,SPENDS,0-110
sewing,SPENDS,0-2.5
sewing,SPENDS,0-5.0
sewing,SPENDS,1.6-2.5
sewing,SPENDS,0-1200
sewing,SPENDS,0-110
working,SPENDS,0-2.5
working,SPENDS,0-5.0
working,SPENDS,1.6-2.5
working,SPENDS,0-1200
working,SPENDS,0-110
studying,SPENDS,0-2.5
studying,SPENDS,0-5.0
studying,SPENDS,1.6-2.5
studying,SPENDS,0-1200
studying,SPENDS,0-110
reading,SPENDS,0-2.5
reading,SPENDS,0-5.0
reading,SPENDS,1.6-2.5
reading,SPENDS,0-1200
reading,SPENDS,0-110
music playing,SPENDS,0-2.5
music playing,SPENDS,0-5.0
music playing,SPENDS,1.6-2.5
music playing,SPENDS,0-1200
music playing,SPENDS,0-110
teaching,SPENDS,0-2.5
teaching,SPENDS,0-5.0
teaching,SPENDS,1.6-2.5
teaching,SPENDS,0-1200
teaching,SPENDS,0-110
massage,SPENDS,0-2.5
massage,SPENDS,0-5.0
massage,SPENDS,1.6-2.5
massage,SPENDS,0-1200
massage,SPENDS,0-110
karaoke,SPENDS,0-2.5
karaoke,SPENDS,0-5.0
karaoke,SPENDS,1.6-2.5
karaoke,SPENDS,0-1200
karaoke,SPENDS,0-110
walking (slow) - 2/mph,SPENDS,0-2.5
walking (slow) - 2/mph,SPENDS,0-5.0
walking (slow) - 2/mph,SPENDS,1.6-2.5
walking (slow) - 2/mph,SPENDS,0-1200
walking (slow) - 2/mph,SPENDS,0-110
watching tv/computer,SPENDS,0-2.5
watching tv/computer,SPENDS,0-5.0
watching tv/computer,SPENDS,1.6-2.5
watching tv/computer,SPENDS,0-1200
watching tv/computer,SPENDS,0-110
golf (cart),SPENDS,0-2.5
golf (cart),SPENDS,0-5.0
golf (cart),SPENDS,1.6-2.5
golf (cart),SPENDS,0-1200
golf (cart),SPENDS,0-110
cooking,SPENDS,0-2.5
cooking,SPENDS,0-5.0
cooking,SPENDS,1.6-2.5
cooking,SPENDS,0-1200
cooking,SPENDS,0-110
breastfeeding,SPENDS,0-2.5
breastfeeding,SPENDS,0-5.0
breastfeeding,SPENDS,1.6-2.5
breastfeeding,SPENDS,0-1200
breastfeeding,SPENDS,0-110
standing,SPENDS,0-2.5
