source,relation,destination
0-110,SUBSET_OF,0-1200
111-1200,SUBSET_OF,0-1200
0-5.0,SUBSET_OF,0-110
5.1-110,SUBSET_OF,0-110
111-590,SUBSET_OF,111-1200
591-1200,SUBSET_OF,111-1200
0-2.5,SUBSET_OF,0-5.0
2.6-5.0,SUBSET_OF,0-5.0
5.1-13.5,SUBSET_OF,5.1-110
13.6-110,SUBSET_OF,5.1-110
111-260,SUBSET_OF,111-590
261-590,SUBSET_OF,111-590
0-1.5,SUBSET_OF,0-2.5
1.6-2.5,SUBSET_OF,0-2.5
2.6-3.5,SUBSET_OF,2.6-5.0
3.6-5.0,SUBSET_OF,2.6-5.0
5.1-8.0,SUBSET_OF,5.1-13.5
8.1-13.5,SUBSET_OF,5.1-13.5
13.6-16.0,SUBSET_OF,13.6-110
111-200,SUBSET_OF,111-260
201-260,SUBSET_OF,111-260
261-410,SUBSET_OF,261-590
411-590,SUBSET_OF,261-590
591-890,SUBSET_OF,591-1200
891-1200,SUBSET_OF,591-1200
