source,relation,destination
0.1-17.0,SUPERSET_OF,0.1-16.0
0.1-17.0,SUPERSET_OF,16.1-17.0
0.1-16.0,SUPERSET_OF,0.1-8.0
0.1-16.0,SUPERSET_OF,8.1-16.0
0.1-8.0,SUPERSET_OF,0.1-4.0
0.1-8.0,SUPERSET_OF,4.1-8.0
8.1-16.0,SUPERSET_OF,8.1-12.0
8.1-16.0,SUPERSET_OF,12.1-16.0
0.1-4.0,SUPERSET_OF,0.1-2.0
0.1-4.0,SUPERSET_OF,2.1-4.0
4.1-8.0,SUPERSET_OF,4.1-6.0
4.1-8.0,SUPERSET_OF,6.1-8.0
8.1-12.0,SUPERSET_OF,8.1-10.0
8.1-12.0,SUPERSET_OF,10.1-12.0
12.1-16.0,SUPERSET_OF,12.1-14.0
12.1-16.0,SUPERSET_OF,14.1-16.0
0.1-2.0,SUPERSET_OF,0.1-1.0
0.1-2.0,SUPERSET_OF,1.1-2.0
2.1-4.0,SUPERSET_OF,2.1-3.0
2.1-4.0,SUPERSET_OF,3.1-4.0
4.1-6.0,SUPERSET_OF,4.1-5.0
4.1-6.0,SUPERSET_OF,5.1-6.0
6.1-8.0,SUPERSET_OF,6.1-7.0
6.1-8.0,SUPERSET_OF,7.1-8.0
8.1-10.0,SUPERSET_OF,8.1-9.0
8.1-10.0,SUPERSET_OF,9.1-10.0
10.1-12.0,SUPERSET_OF,10.1-11.0
10.1-12.0,SUPERSET_OF,11.1-12.0
12.1-14.0,SUPERSET_OF,12.1-13.0
12.1-14.0,SUPERSET_OF,13.1-14.0
14.1-16.0,SUPERSET_OF,14.1-15.0
14.1-16.0,SUPERSET_OF,15.1-16.0
101-1200,SUPERSET_OF,101-900
101-1200,SUPERSET_OF,901-1200
101-900,SUPERSET_OF,101-500
101-900,SUPERSET_OF,501-900
101-500,SUPERSET_OF,101-300
101-500,SUPERSET_OF,301-500
501-900,SUPERSET_OF,501-700
501-900,SUPERSET_OF,701-900
901-1200,SUPERSET_OF,901-1100
901-1200,SUPERSET_OF,1101-1200
101-300,SUPERSET_OF,101-200
101-300,SUPERSET_OF,201-300
301-500,SUPERSET_OF,301-400
301-500,SUPERSET_OF,401-500
501-700,SUPERSET_OF,501-600
501-700,SUPERSET_OF,601-700
701-900,SUPERSET_OF,701-800
701-900,SUPERSET_OF,801-900
901-1100,SUPERSET_OF,901-1000
901-1100,SUPERSET_OF,1001-1100
101-200,SUPERSET_OF,101-150
101-200,SUPERSET_OF,151-200
201-300,SUPERSET_OF,201-250
201-300,SUPERSET_OF,251-300
301-400,SUPERSET_OF,301-350
301-400,SUPERSET_OF,351-400
401-500,SUPERSET_OF,401-450
401-500,SUPERSET_OF,451-500
501-600,SUPERSET_OF,501-550
501-600,SUPERSET_OF,551-600
601-700,SUPERSET_OF,601-650
601-700,SUPERSET_OF,651-700
701-800,SUPERSET_OF,701-750
701-800,SUPERSET_OF,751-800
801-900,SUPERSET_OF,801-850
801-900,SUPERSET_OF,851-900
901-1000,SUPERSET_OF,901-950
901-1000,SUPERSET_OF,951-1000
1001-1100,SUPERSET_OF,1001-1050
1001-1100,SUPERSET_OF,1051-1100
1101-1200,SUPERSET_OF,1101-1150
1101-1200,SUPERSET_OF,1151-1200
